GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Less than high school graduate,Margin of Error; Income in the past 12 months below poverty level: - Less than high school graduate,Estimate; Income in the past 12 months below poverty level: - High school graduate (includes equivalency),Margin of Error; Income in the past 12 months below poverty level: - High school graduate (includes equivalency),"Estimate; Income in the past 12 months below poverty level: - Some college, associate's degree","Margin of Error; Income in the past 12 months below poverty level: - Some college, associate's degree",Estimate; Income in the past 12 months below poverty level: - Bachelor's degree or higher,Margin of Error; Income in the past 12 months below poverty level: - Bachelor's degree or higher,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Less than high school graduate,Margin of Error; Income in the past 12 months at or above poverty level: - Less than high school graduate,Estimate; Income in the past 12 months at or above poverty level: - High school graduate (includes equivalency),Margin of Error; Income in the past 12 months at or above poverty level: - High school graduate (includes equivalency),"Estimate; Income in the past 12 months at or above poverty level: - Some college, associate's degree","Margin of Error; Income in the past 12 months at or above poverty level: - Some college, associate's degree",Estimate; Income in the past 12 months at or above poverty level: - Bachelor's degree or higher,Margin of Error; Income in the past 12 months at or above poverty level: - Bachelor's degree or higher
0500000US30013,30013,"Cascade County, Montana",52042,670,4707,1106,1090,423,1745,687,1701,647,171,147,47335,1092,3012,759,15111,1521,17488,1330,11724,1409
0500000US30029,30029,"Flathead County, Montana",56854,653,5998,1591,1644,987,1910,966,1751,805,693,394,50856,1848,4210,933,16911,1893,17612,2123,12123,1515
0500000US30031,30031,"Gallatin County, Montana",50054,1518,3412,938,539,341,446,234,1605,593,822,416,46642,1732,2127,728,10189,1654,13521,1512,20805,1690
0500000US30063,30063,"Missoula County, Montana",65408,358,6973,1560,1264,1068,1737,698,2492,821,1480,611,58435,1590,3264,913,15335,1596,17810,1991,22026,2083
0500000US30111,30111,"Yellowstone County, Montana",90359,670,8591,1503,2089,693,3254,840,2291,813,957,486,81768,1484,5875,1238,25598,1930,26605,1874,23690,1938
0500000US31055,31055,"Douglas County, Nebraska",304710,529,28129,2836,7367,1464,9141,1702,7463,1283,4158,980,276581,2846,25284,1962,65959,3619,81359,3824,103979,3889
0500000US31109,31109,"Lancaster County, Nebraska",162885,1024,11572,2020,2217,825,2861,858,4368,1511,2126,781,151313,2051,8859,1553,37052,2884,51429,3150,53973,2795
0500000US31153,31153,"Sarpy County, Nebraska",84463,592,3335,876,221,194,692,463,1641,643,781,409,81128,908,3610,964,17249,1812,28282,2186,31987,2213
0500000US32003,32003,"Clark County, Nevada",1095527,713,96992,8072,33460,4605,31134,4859,22307,2634,10091,1637,998535,8163,167026,7524,305870,11191,318212,8286,207427,8208
0500000US32031,32031,"Washoe County, Nevada",251662,647,19026,3206,5421,1388,6722,2316,4647,1268,2236,838,232636,3288,30157,2607,63055,3854,73500,4090,65924,4529
0500000US33005,33005,"Cheshire County, New Hampshire",50086,154,2433,740,415,267,968,488,646,399,404,265,47653,739,5721,1282,16229,1672,12029,1634,13674,1603
0500000US33009,33009,"Grafton County, New Hampshire",54104,464,4092,1192,1597,685,1036,528,947,520,512,332,50012,1288,5004,1108,16939,1594,11959,1596,16110,1615
0500000US33011,33011,"Hillsborough County, New Hampshire",264139,876,15367,2374,4624,1604,5020,1096,3398,1004,2325,796,248772,2561,22789,2168,69536,3987,71152,3156,85295,3963
0500000US33013,33013,"Merrimack County, New Hampshire",95584,408,5989,1410,1524,668,1162,452,1710,932,1593,792,89595,1453,6713,1302,25682,2257,25854,2686,31346,2610
0500000US33015,33015,"Rockingham County, New Hampshire",198655,797,8623,2007,1774,814,3317,1222,2176,783,1356,600,190032,2317,14256,1997,53156,3542,53440,3326,69180,3589
0500000US33017,33017,"Strafford County, New Hampshire",75210,488,6433,1654,1071,456,2908,1200,1596,661,858,501,68777,1577,5576,1123,22773,2035,18521,1848,21907,2160
0500000US34001,34001,"Atlantic County, New Jersey",176201,781,14086,2328,4844,1436,6296,1611,2248,815,698,533,162115,2499,24113,2574,53537,3212,42982,3104,41483,3117
0500000US34003,34003,"Bergen County, New Jersey",616233,108,31624,4157,9093,2276,9908,2112,5007,1259,7616,2007,584609,4170,55819,5675,148147,6944,121480,5912,259163,7667
0500000US34005,34005,"Burlington County, New Jersey",293085,624,12348,2207,3111,1012,4448,1292,2872,1038,1917,739,280737,2388,22217,2086,86219,4867,77031,4237,95270,4426
0500000US34007,34007,"Camden County, New Jersey",325958,438,29782,3147,11302,1830,11547,2032,4405,1443,2528,848,296176,3109,38290,3027,96569,3777,72308,4372,89009,4115
0500000US34009,34009,"Cape May County, New Jersey",67850,440,3926,1142,1069,405,1600,837,632,275,625,306,63924,1208,7699,1330,23545,2025,15470,1454,17210,1573
0500000US34011,34011,"Cumberland County, New Jersey",89637,639,9702,2280,3664,1014,4519,1724,800,496,719,565,79935,2185,17968,2020,28182,2694,20443,2005,13342,1923
0500000US34013,34013,"Essex County, New Jersey",490190,257,61286,5705,26443,3524,21548,3542,10044,1911,3251,1011,428904,5707,67610,5097,124623,5169,89450,5049,147221,5534
0500000US34015,34015,"Gloucester County, New Jersey",178988,829,8995,1590,1763,599,3886,955,2385,808,961,554,169993,1882,17301,1942,62935,3425,45512,3217,44245,2871
0500000US34017,34017,"Hudson County, New Jersey",401453,293,52185,5795,19460,2863,16302,3032,10621,2821,5802,1492,349268,5829,65613,5182,92434,5659,70986,5189,120235,5477
0500000US34019,34019,"Hunterdon County, New Jersey",86210,405,1361,600,454,301,531,433,208,169,168,136,84849,681,5309,1218,19689,1688,15795,1757,44056,2413
0500000US34021,34021,"Mercer County, New Jersey",229063,316,15405,2459,5093,1290,4395,1260,3095,883,2822,1062,213658,2507,28186,2873,56353,3952,45617,3179,83502,4083
0500000US34023,34023,"Middlesex County, New Jersey",513635,332,30597,4271,7750,2643,10388,1996,7728,1711,4731,1411,483038,4321,53129,4135,134615,5191,102143,4685,193151,6224
0500000US34025,34025,"Monmouth County, New Jersey",413164,1010,19710,2598,6052,1852,6732,1391,3358,876,3568,936,393454,2772,31927,3752,107301,4556,97298,4369,156928,5991
0500000US34027,34027,"Morris County, New Jersey",326009,395,9612,2116,2035,1080,3614,1289,2023,666,1940,748,316397,2110,22009,2977,65900,4258,71844,4093,156644,4477
