GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Less than high school graduate,Margin of Error; Income in the past 12 months below poverty level: - Less than high school graduate,Estimate; Income in the past 12 months below poverty level: - High school graduate (includes equivalency),Margin of Error; Income in the past 12 months below poverty level: - High school graduate (includes equivalency),"Estimate; Income in the past 12 months below poverty level: - Some college, associate's degree","Margin of Error; Income in the past 12 months below poverty level: - Some college, associate's degree",Estimate; Income in the past 12 months below poverty level: - Bachelor's degree or higher,Margin of Error; Income in the past 12 months below poverty level: - Bachelor's degree or higher,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Less than high school graduate,Margin of Error; Income in the past 12 months at or above poverty level: - Less than high school graduate,Estimate; Income in the past 12 months at or above poverty level: - High school graduate (includes equivalency),Margin of Error; Income in the past 12 months at or above poverty level: - High school graduate (includes equivalency),"Estimate; Income in the past 12 months at or above poverty level: - Some college, associate's degree","Margin of Error; Income in the past 12 months at or above poverty level: - Some college, associate's degree",Estimate; Income in the past 12 months at or above poverty level: - Bachelor's degree or higher,Margin of Error; Income in the past 12 months at or above poverty level: - Bachelor's degree or higher
0500000US01003,01003,"Baldwin County, Alabama",118904,1691,7206,1373,1624,674,2593,1017,2033,897,956,647,111698,2143,12225,2054,29380,2546,35626,2961,34467,3335
0500000US01015,01015,"Calhoun County, Alabama",75084,1082,10775,2010,3819,1012,4550,1300,2081,715,325,311,64309,2298,10861,1353,21144,1983,20752,2300,11552,1458
0500000US01043,01043,"Cullman County, Alabama",54463,1693,7504,1666,2773,959,3004,1023,1624,715,103,146,46959,2207,8699,1524,16688,2298,14144,1794,7428,1421
0500000US01049,01049,"DeKalb County, Alabama",46525,1086,10458,3836,5022,1791,4131,2540,1133,611,172,271,36067,3525,9358,1939,13218,2024,10011,1779,3480,884
0500000US01051,01051,"Elmore County, Alabama",44906,2826,3527,919,1565,635,1176,465,557,385,229,231,41379,2940,4136,1080,15909,2179,13440,1672,7894,1399
0500000US01055,01055,"Etowah County, Alabama",69744,1091,8966,1646,3000,967,3569,1023,1755,601,642,411,60778,1628,9615,1827,17348,1730,22225,1867,11590,1722
0500000US01069,01069,"Houston County, Alabama",64677,855,7025,863,3310,653,2147,510,1260,342,308,142,57652,1212,7790,925,20528,1479,17328,1011,12006,939
0500000US01073,01073,"Jefferson County, Alabama",431876,1777,44412,4216,12485,1982,16363,2385,11831,1734,3733,1022,387464,4306,39613,3353,110190,5001,119745,5538,117916,4820
0500000US01077,01077,"Lauderdale County, Alabama",59683,1065,9174,2226,3306,1041,2725,1012,1607,653,1536,1031,50509,2250,7024,1641,16623,1834,13660,1888,13202,1809
0500000US01081,01081,"Lee County, Alabama",73877,1143,7623,1570,3159,1399,2401,1110,1364,416,699,306,66254,1912,7392,1384,17849,2016,18796,1550,22217,1896
0500000US01083,01083,"Limestone County, Alabama",49492,1046,4151,1319,2017,768,1181,755,741,537,212,263,45341,1705,7901,1692,14121,1536,13709,2069,9610,1618
0500000US01089,01089,"Madison County, Alabama",206572,2320,16133,2461,4805,1010,4225,1222,4905,1080,2198,848,190439,3075,18384,2531,43785,3105,52428,2876,75842,3933
0500000US01095,01095,"Marshall County, Alabama",58362,1237,9124,1772,4412,1319,3247,1205,1358,540,107,130,49238,1821,12607,2072,13382,1795,14262,1905,8987,1666
0500000US01097,01097,"Mobile County, Alabama",257409,2203,36397,3263,11758,1625,14111,2659,8167,1357,2361,737,221012,3753,30302,3091,76079,4215,64756,3687,49875,3874
0500000US01101,01101,"Montgomery County, Alabama",137069,1328,16925,2225,7401,1570,4310,1107,3931,1167,1283,505,120144,2565,12716,1711,29176,2477,37593,2529,40659,2668
0500000US01103,01103,"Morgan County, Alabama",76764,1220,7257,1451,2167,781,2874,961,1855,919,361,276,69507,1804,8618,1394,22251,2115,23553,2035,15085,1897
0500000US01115,01115,"St. Clair County, Alabama",50053,2804,5520,1414,2701,871,1552,707,900,896,367,442,44533,2719,8510,1688,15081,2357,14912,2410,6030,1441
0500000US01117,01117,"Shelby County, Alabama",120804,1055,3377,1020,934,473,1236,512,587,374,620,370,117427,1524,7123,1292,24447,2396,35091,2284,50766,3083
0500000US01121,01121,"Talladega County, Alabama",51231,1417,7711,1657,3770,970,2284,1030,1324,751,333,202,43520,2104,7779,1327,16898,1896,12787,1527,6056,1655
0500000US01125,01125,"Tuscaloosa County, Alabama",109325,1687,12964,2594,5522,1613,3832,1268,2254,977,1356,781,96361,3076,12580,1795,31575,2842,24206,2295,28000,2359
0500000US01127,01127,"Walker County, Alabama",47445,1103,6987,1332,3831,1084,1600,567,1465,558,91,174,40458,1641,7681,1087,15141,1496,12459,1448,5177,1229
0500000US02020,02020,"Anchorage Municipality, Alaska",173505,1168,8006,1512,1999,727,2730,1016,2028,764,1249,496,165499,1814,8716,1535,36773,2609,62492,3783,57518,3737
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",55587,1087,2642,1114,290,304,1233,751,621,451,498,523,52945,1488,3950,1327,12229,2017,21550,2244,15216,2011
