GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Less than high school graduate,Margin of Error; Income in the past 12 months below poverty level: - Less than high school graduate,Estimate; Income in the past 12 months below poverty level: - High school graduate (includes equivalency),Margin of Error; Income in the past 12 months below poverty level: - High school graduate (includes equivalency),"Estimate; Income in the past 12 months below poverty level: - Some college, associate's degree","Margin of Error; Income in the past 12 months below poverty level: - Some college, associate's degree",Estimate; Income in the past 12 months below poverty level: - Bachelor's degree or higher,Margin of Error; Income in the past 12 months below poverty level: - Bachelor's degree or higher,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Less than high school graduate,Margin of Error; Income in the past 12 months at or above poverty level: - Less than high school graduate,Estimate; Income in the past 12 months at or above poverty level: - High school graduate (includes equivalency),Margin of Error; Income in the past 12 months at or above poverty level: - High school graduate (includes equivalency),"Estimate; Income in the past 12 months at or above poverty level: - Some college, associate's degree","Margin of Error; Income in the past 12 months at or above poverty level: - Some college, associate's degree",Estimate; Income in the past 12 months at or above poverty level: - Bachelor's degree or higher,Margin of Error; Income in the past 12 months at or above poverty level: - Bachelor's degree or higher
0500000US01003,01003,"Baldwin County, Alabama",115984,778,8558,1979,2744,1107,3281,1019,1992,1038,541,362,107426,2282,10159,1753,32694,2641,34052,2986,30521,2731
0500000US01015,01015,"Calhoun County, Alabama",74562,470,9963,1722,4238,1081,3496,1159,1348,566,881,458,64599,1819,11583,1717,23885,2012,18558,2028,10573,1545
0500000US01043,01043,"Cullman County, Alabama",54758,623,7384,1905,3118,1223,1842,815,2278,1109,146,118,47374,1990,11670,1608,15298,1651,13285,1781,7121,1343
0500000US01049,01049,"DeKalb County, Alabama",45741,425,7695,1853,4754,1599,1635,604,954,534,352,224,38046,1841,8315,1768,14164,1725,10206,1554,5361,1298
0500000US01051,01051,"Elmore County, Alabama",46136,857,3418,1067,1538,625,1323,553,460,279,97,110,42718,1485,6576,1334,14467,1680,10990,1551,10685,1618
0500000US01055,01055,"Etowah County, Alabama",70170,508,10469,1606,3946,1037,4158,1033,1882,777,483,321,59701,1629,10034,1633,19671,1922,19895,1957,10101,1275
0500000US01069,01069,"Houston County, Alabama",63286,296,7513,961,3060,641,2789,585,1172,295,492,216,55773,1027,7851,776,18447,1414,17821,1270,11654,945
0500000US01073,01073,"Jefferson County, Alabama",430759,730,50338,4467,16161,2014,15889,2530,14525,2351,3763,1152,380421,4699,42682,3595,106572,4694,111882,5440,119285,4776
0500000US01077,01077,"Lauderdale County, Alabama",59948,560,8564,1320,1998,628,3569,1150,2306,848,691,443,51384,1221,8833,1438,19148,1739,12218,1579,11185,1432
0500000US01081,01081,"Lee County, Alabama",72649,571,7223,1557,3317,1042,1389,489,1574,687,943,447,65426,1631,8629,1298,16763,1937,17807,1884,22227,2594
0500000US01083,01083,"Limestone County, Alabama",47226,800,5401,1384,2652,960,1157,676,1164,651,428,390,41825,1537,6758,1638,14699,1618,12407,1627,7961,1371
0500000US01089,01089,"Madison County, Alabama",201590,1070,15457,2342,4435,1175,5022,1230,4054,937,1946,758,186133,2772,17751,2256,42841,3057,50005,2756,75536,3841
0500000US01095,01095,"Marshall County, Alabama",57800,306,10106,2034,3990,1262,3554,1329,2053,779,509,359,47694,2111,9331,1464,17056,1848,12760,1985,8547,1736
0500000US01097,01097,"Mobile County, Alabama",256420,517,41661,4185,15316,2238,17425,2529,6499,1253,2421,946,214759,4105,32950,3414,74023,4158,61802,4288,45984,3002
0500000US01101,01101,"Montgomery County, Alabama",136302,664,17270,2364,6490,1368,6192,1402,2732,880,1856,865,119032,2257,14173,1888,28640,2666,33747,2572,42472,3314
0500000US01103,01103,"Morgan County, Alabama",78072,555,8968,1910,3037,918,3925,1386,1497,667,509,349,69104,1904,10592,1480,22638,2289,21016,2057,14858,1874
0500000US01115,01115,"St. Clair County, Alabama",50203,2300,3638,1263,1162,482,1504,848,576,461,396,301,46565,2485,10281,1935,17901,2331,12108,2078,6275,1397
0500000US01117,01117,"Shelby County, Alabama",117689,764,5651,1319,1926,723,1892,729,1081,461,752,414,112038,1633,8524,1161,24972,2324,34277,2806,44265,2902
0500000US01121,01121,"Talladega County, Alabama",52519,246,8244,1493,4357,1113,2162,618,1597,704,128,209,44275,1539,10137,1520,16930,1852,11370,1319,5838,1341
0500000US01125,01125,"Tuscaloosa County, Alabama",107141,465,11993,1578,4020,1013,3760,1024,3204,992,1009,442,95148,1575,12914,1806,29172,2507,25058,2139,28004,2494
0500000US01127,01127,"Walker County, Alabama",47783,326,8476,1707,2515,852,3140,1039,2783,1217,38,65,39307,1702,8282,1218,14712,1483,12476,1644,3837,918
0500000US02020,02020,"Anchorage Municipality, Alaska",173614,1325,7915,1493,1800,765,3211,918,1928,632,976,432,165699,1751,12156,2156,40182,3074,58967,3583,54394,3352
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",55283,967,3571,970,921,577,1441,593,902,455,307,266,51712,1198,2527,694,15320,1701,20186,2204,13679,1591
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",47374,1543,3254,1112,557,486,1323,704,1305,653,69,100,44120,1773,3500,1092,14625,1737,16576,1567,9419,1402
0500000US04001,04001,"Apache County, Arizona",38850,704,10998,1231,5575,976,3836,1083,1547,744,40,49,27852,1364,5931,968,8650,1232,9426,1612,3845,1054
0500000US04003,04003,"Cochise County, Arizona",81734,857,8626,1813,3197,1184,2456,909,2425,708,548,309,73108,2090,10410,1532,17397,1926,29353,2052,15948,1416
