GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US40003,40003,"ZIP 40003 (Bagdad, KY)",00,Total for all sectors,2014,22,197,1100,4391
8610000US40004,40004,"ZIP 40004 (Bardstown, KY)",00,Total for all sectors,2014,745,13254,104047,455928
8610000US40006,40006,"ZIP 40006 (Bedford, KY)",00,Total for all sectors,2014,43,e,D,D
8610000US40007,40007,"ZIP 40007 (Bethlehem, KY)",00,Total for all sectors,2014,2,a,D,D
8610000US40008,40008,"ZIP 40008 (Bloomfield, KY)",00,Total for all sectors,2014,49,218,1367,5959
8610000US40009,40009,"ZIP 40009 (Bradfordsville, KY)",00,Total for all sectors,2014,6,a,D,D
8610000US40010,40010,"ZIP 40010 (Buckner, KY)",00,Total for all sectors,2014,50,1229,12398,53532
8610000US40011,40011,"ZIP 40011 (Campbellsburg, KY)",00,Total for all sectors,2014,23,170,1408,5957
8610000US40012,40012,"ZIP 40012 (Chaplin, KY)",00,Total for all sectors,2014,8,40,240,910
8610000US40013,40013,"ZIP 40013 (Coxs Creek, KY)",00,Total for all sectors,2014,58,273,1819,9426
8610000US40014,40014,"ZIP 40014 (Crestwood, KY)",00,Total for all sectors,2014,422,2407,15923,70977
8610000US40018,40018,"ZIP 40018 (Eastwood, KY)",00,Total for all sectors,2014,5,b,D,D
8610000US40019,40019,"ZIP 40019 (Eminence, KY)",00,Total for all sectors,2014,67,889,7039,30642
8610000US40020,40020,"ZIP 40020 (Fairfield, KY)",00,Total for all sectors,2014,2,a,D,D
8610000US40022,40022,"ZIP 40022 (Finchville, KY)",00,Total for all sectors,2014,20,73,428,2463
8610000US40023,40023,"ZIP 40023 (Fisherville, KY)",00,Total for all sectors,2014,67,224,1532,7246
8610000US40025,40025,"ZIP 40025 (Glenview, KY)",00,Total for all sectors,2014,5,a,D,D
8610000US40026,40026,"ZIP 40026 (Goshen, KY)",00,Total for all sectors,2014,89,425,3386,14591
8610000US40027,40027,"ZIP 40027 (Harrods Creek, KY)",00,Total for all sectors,2014,11,b,476,1745
8610000US40031,40031,"ZIP 40031 (La Grange, KY)",00,Total for all sectors,2014,414,6107,53523,217377
8610000US40032,40032,"ZIP 40032 (La Grange, KY)",00,Total for all sectors,2014,2,b,D,D
8610000US40033,40033,"ZIP 40033 (Lebanon, KY)",00,Total for all sectors,2014,305,6841,57904,235547
8610000US40036,40036,"ZIP 40036 (Lockport, KY)",00,Total for all sectors,2014,1,b,D,D
8610000US40037,40037,"ZIP 40037 (Loretto, KY)",00,Total for all sectors,2014,22,c,D,D
8610000US40040,40040,"ZIP 40040 (Mackville, KY)",00,Total for all sectors,2014,6,a,50,220
8610000US40041,40041,"ZIP 40041 (Masonic Home, KY)",00,Total for all sectors,2014,6,e,D,D
8610000US40045,40045,"ZIP 40045 (Milton, KY)",00,Total for all sectors,2014,33,c,942,4302
8610000US40046,40046,"ZIP 40046 (Mount Eden, KY)",00,Total for all sectors,2014,10,b,113,625
8610000US40047,40047,"ZIP 40047 (Mount Washington, KY)",00,Total for all sectors,2014,265,2082,12021,50858
8610000US40048,40048,"ZIP 40048 (Nazareth, KY)",00,Total for all sectors,2014,4,c,D,D
8610000US40049,40049,"ZIP 40049 (Nerinx, KY)",00,Total for all sectors,2014,1,c,D,D
8610000US40050,40050,"ZIP 40050 (New Castle, KY)",00,Total for all sectors,2014,36,264,1499,4998
8610000US40051,40051,"ZIP 40051 (New Haven, KY)",00,Total for all sectors,2014,65,275,1534,8358
8610000US40052,40052,"ZIP 40052 (New Hope, KY)",00,Total for all sectors,2014,4,b,D,D
8610000US40055,40055,"ZIP 40055 (Pendleton, KY)",00,Total for all sectors,2014,22,201,949,3918
