GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQ1T,PAYANT
Geographic identifier code,Id2,Geographic area name,2002 NAICS code,Meaning of 2002 NAICS code,Year,Number of establishments,Number of employees,"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US40003,40003,"ZIP 40003 (Bagdad, KY)",00,Total for all sectors,2006,23,210,867,3812
8610000US40004,40004,"ZIP 40004 (Bardstown, KY)",00,Total for all sectors,2006,709,11202,73097,319762
8610000US40006,40006,"ZIP 40006 (Bedford, KY)",00,Total for all sectors,2006,48,348,3497,12815
8610000US40007,40007,"ZIP 40007 (Bethlehem, KY)",00,Total for all sectors,2006,2,a,D,D
8610000US40008,40008,"ZIP 40008 (Bloomfield, KY)",00,Total for all sectors,2006,61,291,1385,6099
8610000US40009,40009,"ZIP 40009 (Bradfordsville, KY)",00,Total for all sectors,2006,4,10,41,154
8610000US40010,40010,"ZIP 40010 (Buckner, KY)",00,Total for all sectors,2006,59,1428,11979,51855
8610000US40011,40011,"ZIP 40011 (Campbellsburg, KY)",00,Total for all sectors,2006,27,222,939,3388
8610000US40012,40012,"ZIP 40012 (Chaplin, KY)",00,Total for all sectors,2006,12,49,286,1114
8610000US40013,40013,"ZIP 40013 (Coxs Creek, KY)",00,Total for all sectors,2006,65,357,1961,8652
8610000US40014,40014,"ZIP 40014 (Crestwood, KY)",00,Total for all sectors,2006,438,2553,15632,66963
8610000US40018,40018,"ZIP 40018 (Eastwood, KY)",00,Total for all sectors,2006,7,18,76,422
8610000US40019,40019,"ZIP 40019 (Eminence, KY)",00,Total for all sectors,2006,67,1007,6814,29272
8610000US40020,40020,"ZIP 40020 (Fairfield, KY)",00,Total for all sectors,2006,3,11,18,71
8610000US40022,40022,"ZIP 40022 (Finchville, KY)",00,Total for all sectors,2006,16,66,319,1565
8610000US40023,40023,"ZIP 40023 (Fisherville, KY)",00,Total for all sectors,2006,72,354,1940,10177
8610000US40025,40025,"ZIP 40025 (Glenview, KY)",00,Total for all sectors,2006,6,18,112,434
8610000US40026,40026,"ZIP 40026 (Goshen, KY)",00,Total for all sectors,2006,77,303,1811,8659
8610000US40027,40027,"ZIP 40027 (Harrods Creek, KY)",00,Total for all sectors,2006,9,130,454,2705
8610000US40031,40031,"ZIP 40031 (La Grange, KY)",00,Total for all sectors,2006,419,5036,31825,127774
8610000US40032,40032,"ZIP 40032 (La Grange, KY)",00,Total for all sectors,2006,1,a,D,D
8610000US40033,40033,"ZIP 40033 (Lebanon, KY)",00,Total for all sectors,2006,306,6023,40620,178924
8610000US40036,40036,"ZIP 40036 (Lockport, KY)",00,Total for all sectors,2006,2,b,D,D
8610000US40037,40037,"ZIP 40037 (Loretto, KY)",00,Total for all sectors,2006,25,220,1244,6608
