GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US40003,40003,"ZIP 40003 (Bagdad, KY)",00,Total for all sectors,2010,22,207,946,4242
8610000US40004,40004,"ZIP 40004 (Bardstown, KY)",00,Total for all sectors,2010,721,10776,80148,366411
8610000US40006,40006,"ZIP 40006 (Bedford, KY)",00,Total for all sectors,2010,45,396,4377,17528
8610000US40007,40007,"ZIP 40007 (Bethlehem, KY)",00,Total for all sectors,2010,3,e,D,D
8610000US40008,40008,"ZIP 40008 (Bloomfield, KY)",00,Total for all sectors,2010,51,260,1284,5545
8610000US40009,40009,"ZIP 40009 (Bradfordsville, KY)",00,Total for all sectors,2010,6,8,19,290
8610000US40010,40010,"ZIP 40010 (Buckner, KY)",00,Total for all sectors,2010,49,1116,9199,40780
8610000US40011,40011,"ZIP 40011 (Campbellsburg, KY)",00,Total for all sectors,2010,32,205,1301,5952
8610000US40012,40012,"ZIP 40012 (Chaplin, KY)",00,Total for all sectors,2010,11,46,219,961
8610000US40013,40013,"ZIP 40013 (Coxs Creek, KY)",00,Total for all sectors,2010,58,275,1686,7976
8610000US40014,40014,"ZIP 40014 (Crestwood, KY)",00,Total for all sectors,2010,444,2246,13151,59617
8610000US40018,40018,"ZIP 40018 (Eastwood, KY)",00,Total for all sectors,2010,4,a,D,D
8610000US40019,40019,"ZIP 40019 (Eminence, KY)",00,Total for all sectors,2010,67,860,6580,27547
8610000US40020,40020,"ZIP 40020 (Fairfield, KY)",00,Total for all sectors,2010,3,a,D,D
8610000US40022,40022,"ZIP 40022 (Finchville, KY)",00,Total for all sectors,2010,18,69,359,2056
8610000US40023,40023,"ZIP 40023 (Fisherville, KY)",00,Total for all sectors,2010,73,210,1259,6469
8610000US40025,40025,"ZIP 40025 (Glenview, KY)",00,Total for all sectors,2010,5,9,135,581
8610000US40026,40026,"ZIP 40026 (Goshen, KY)",00,Total for all sectors,2010,84,273,2043,9993
8610000US40027,40027,"ZIP 40027 (Harrods Creek, KY)",00,Total for all sectors,2010,9,b,D,D
8610000US40031,40031,"ZIP 40031 (La Grange, KY)",00,Total for all sectors,2010,429,5417,41979,172603
8610000US40032,40032,"ZIP 40032 (La Grange, KY)",00,Total for all sectors,2010,2,a,D,D
8610000US40033,40033,"ZIP 40033 (Lebanon, KY)",00,Total for all sectors,2010,300,5827,39117,171440
8610000US40036,40036,"ZIP 40036 (Lockport, KY)",00,Total for all sectors,2010,1,b,D,D
8610000US40037,40037,"ZIP 40037 (Loretto, KY)",00,Total for all sectors,2010,25,c,D,D
8610000US40040,40040,"ZIP 40040 (Mackville, KY)",00,Total for all sectors,2010,8,15,69,336
8610000US40041,40041,"ZIP 40041 (Masonic Home, KY)",00,Total for all sectors,2010,3,e,D,D
8610000US40045,40045,"ZIP 40045 (Milton, KY)",00,Total for all sectors,2010,35,c,702,3738
8610000US40046,40046,"ZIP 40046 (Mount Eden, KY)",00,Total for all sectors,2010,14,32,134,666
8610000US40047,40047,"ZIP 40047 (Mount Washington, KY)",00,Total for all sectors,2010,248,1932,10406,44205
8610000US40048,40048,"ZIP 40048 (Nazareth, KY)",00,Total for all sectors,2010,4,c,D,D
8610000US40049,40049,"ZIP 40049 (Nerinx, KY)",00,Total for all sectors,2010,1,c,D,D
