GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQ1T,PAYANT
Geographic identifier code,Id2,Geographic area name,2002 NAICS code,Meaning of 2002 NAICS code,Year,Number of establishments,Number of employees,"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US40110,40110,"ZIP 40110 (Clermont, KY)",00,Total for all sectors,2004,3,e,D,D
8610000US40111,40111,"ZIP 40111 (Cloverport, KY)",00,Total for all sectors,2004,21,128,460,2083
8610000US40115,40115,"ZIP 40115 (Custer, KY)",00,Total for all sectors,2004,3,a,D,D
8610000US40117,40117,"ZIP 40117 (Ekron, KY)",00,Total for all sectors,2004,19,81,337,1558
8610000US40118,40118,"ZIP 40118 (Fairdale, KY)",00,Total for all sectors,2004,100,1028,6633,28957
8610000US40119,40119,"ZIP 40119 (Falls Of Rough, KY)",00,Total for all sectors,2004,21,82,304,1467
8610000US40121,40121,"ZIP 40121 (Fort Knox, KY)",00,Total for all sectors,2004,59,1318,13998,57364
8610000US40129,40129,"ZIP 40129 (Hillview, KY)",00,Total for all sectors,2004,1,a,D,D
8610000US40140,40140,"ZIP 40140 (Garfield, KY)",00,Total for all sectors,2004,3,11,59,268
8610000US40142,40142,"ZIP 40142 (Guston, KY)",00,Total for all sectors,2004,10,24,99,440
8610000US40143,40143,"ZIP 40143 (Hardinsburg, KY)",00,Total for all sectors,2004,174,1585,8037,34700
8610000US40144,40144,"ZIP 40144 (Harned, KY)",00,Total for all sectors,2004,22,70,316,1325
8610000US40145,40145,"ZIP 40145 (Hudson, KY)",00,Total for all sectors,2004,7,24,89,636
8610000US40146,40146,"ZIP 40146 (Irvington, KY)",00,Total for all sectors,2004,45,297,1279,5831
8610000US40150,40150,"ZIP 40150 (Lebanon Junction, KY)",00,Total for all sectors,2004,52,1090,7795,32956
8610000US40152,40152,"ZIP 40152 (Mc Daniels, KY)",00,Total for all sectors,2004,16,68,265,1190
8610000US40153,40153,"ZIP 40153 (Mc Quady, KY)",00,Total for all sectors,2004,1,a,D,D
8610000US40155,40155,"ZIP 40155 (Muldraugh, KY)",00,Total for all sectors,2004,21,238,1474,5664
8610000US40157,40157,"ZIP 40157 (Payneville, KY)",00,Total for all sectors,2004,11,44,156,727
8610000US40159,40159,"ZIP 40159 (Radcliff, KY)",00,Total for all sectors,2004,9,55,158,772
8610000US40160,40160,"ZIP 40160 (Radcliff, KY)",00,Total for all sectors,2004,411,5512,24180,99182
8610000US40161,40161,"ZIP 40161 (Rhodelia, KY)",00,Total for all sectors,2004,2,a,D,D
8610000US40162,40162,"ZIP 40162 (Rineyville, KY)",00,Total for all sectors,2004,39,192,746,3204
8610000US40165,40165,"ZIP 40165 (Shepherdsville, KY)",00,Total for all sectors,2004,506,5733,31693,141409
8610000US40170,40170,"ZIP 40170 (Stephensport, KY)",00,Total for all sectors,2004,1,a,D,D
8610000US40171,40171,"ZIP 40171 (Union Star, KY)",00,Total for all sectors,2004,3,b,D,D
8610000US40175,40175,"ZIP 40175 (Vine Grove, KY)",00,Total for all sectors,2004,101,733,3501,18604
8610000US40176,40176,"ZIP 40176 (Webster, KY)",00,Total for all sectors,2004,6,33,145,646
8610000US40177,40177,"ZIP 40177 (West Point, KY)",00,Total for all sectors,2004,16,41,143,652
8610000US40178,40178,"ZIP 40178 (Westview, KY)",00,Total for all sectors,2004,1,a,D,D
8610000US40201,40201,"ZIP 40201 (Louisville, KY)",00,Total for all sectors,2004,48,1554,19245,77824
8610000US40202,40202,"ZIP 40202 (Louisville, KY)",00,Total for all sectors,2004,1695,54162,673743,2704763
8610000US40203,40203,"ZIP 40203 (Louisville, KY)",00,Total for all sectors,2004,601,12427,84945,349935
8610000US40204,40204,"ZIP 40204 (Louisville, KY)",00,Total for all sectors,2004,589,7357,50826,217986
8610000US40205,40205,"ZIP 40205 (Louisville, KY)",00,Total for all sectors,2004,670,10530,67421,289371
8610000US40206,40206,"ZIP 40206 (Louisville, KY)",00,Total for all sectors,2004,620,10911,85450,368153
8610000US40207,40207,"ZIP 40207 (Louisville, KY)",00,Total for all sectors,2004,1649,27558,203614,837212
8610000US40208,40208,"ZIP 40208 (Louisville, KY)",00,Total for all sectors,2004,312,5536,42702,190950
8610000US40209,40209,"ZIP 40209 (Louisville, KY)",00,Total for all sectors,2004,190,6525,50934,226696
8610000US40210,40210,"ZIP 40210 (Louisville, KY)",00,Total for all sectors,2004,210,7159,73554,337488
8610000US40211,40211,"ZIP 40211 (Louisville, KY)",00,Total for all sectors,2004,297,6211,53109,212020
8610000US40212,40212,"ZIP 40212 (Louisville, KY)",00,Total for all sectors,2004,140,2391,16240,69030
8610000US40213,40213,"ZIP 40213 (Louisville, KY)",00,Total for all sectors,2004,794,28550,256438,1029824
8610000US40214,40214,"ZIP 40214 (Louisville, KY)",00,Total for all sectors,2004,696,11711,79280,333787
8610000US40215,40215,"ZIP 40215 (Louisville, KY)",00,Total for all sectors,2004,211,4417,39950,170058
8610000US40216,40216,"ZIP 40216 (Louisville, KY)",00,Total for all sectors,2004,720,12119,95433,387664
8610000US40217,40217,"ZIP 40217 (Louisville, KY)",00,Total for all sectors,2004,327,6831,50111,215381
8610000US40218,40218,"ZIP 40218 (Louisville, KY)",00,Total for all sectors,2004,1027,19575,144042,604542
8610000US40219,40219,"ZIP 40219 (Louisville, KY)",00,Total for all sectors,2004,815,19600,152366,673421
8610000US40220,40220,"ZIP 40220 (Louisville, KY)",00,Total for all sectors,2004,715,11217,67213,284221
8610000US40221,40221,"ZIP 40221 (Louisville, KY)",00,Total for all sectors,2004,18,141,777,3373
8610000US40222,40222,"ZIP 40222 (Louisville, KY)",00,Total for all sectors,2004,1195,26930,272819,1157878
8610000US40223,40223,"ZIP 40223 (Louisville, KY)",00,Total for all sectors,2004,966,20982,206537,827978
8610000US40224,40224,"ZIP 40224 (Louisville, KY)",00,Total for all sectors,2004,9,147,1111,4711
8610000US40225,40225,"ZIP 40225 (Louisville, KY)",00,Total for all sectors,2004,13,h,D,D
8610000US40228,40228,"ZIP 40228 (Louisville, KY)",00,Total for all sectors,2004,257,3286,19296,81498
8610000US40229,40229,"ZIP 40229 (Louisville, KY)",00,Total for all sectors,2004,368,8465,137295,467109
8610000US40231,40231,"ZIP 40231 (Louisville, KY)",00,Total for all sectors,2004,5,66,567,2274
8610000US40232,40232,"ZIP 40232 (Louisville, KY)",00,Total for all sectors,2004,43,1232,16622,63483
8610000US40233,40233,"ZIP 40233 (Louisville, KY)",00,Total for all sectors,2004,13,323,2409,10657
8610000US40241,40241,"ZIP 40241 (Louisville, KY)",00,Total for all sectors,2004,559,8368,38273,163319
8610000US40242,40242,"ZIP 40242 (Louisville, KY)",00,Total for all sectors,2004,123,1163,6422,25317
8610000US40243,40243,"ZIP 40243 (Louisville, KY)",00,Total for all sectors,2004,573,6173,40279,170986
8610000US40245,40245,"ZIP 40245 (Louisville, KY)",00,Total for all sectors,2004,353,4780,34584,153673
8610000US40250,40250,"ZIP 40250 (Louisville, KY)",00,Total for all sectors,2004,8,98,323,1389
8610000US40251,40251,"ZIP 40251 (Louisville, KY)",00,Total for all sectors,2004,11,77,301,1353
8610000US40252,40252,"ZIP 40252 (Louisville, KY)",00,Total for all sectors,2004,18,58,383,1993
8610000US40253,40253,"ZIP 40253 (Louisville, KY)",00,Total for all sectors,2004,22,201,1891,7225
8610000US40255,40255,"ZIP 40255 (Louisville, KY)",00,Total for all sectors,2004,6,18,114,554
8610000US40256,40256,"ZIP 40256 (Louisville, KY)",00,Total for all sectors,2004,12,731,4614,21086
8610000US40257,40257,"ZIP 40257 (Louisville, KY)",00,Total for all sectors,2004,11,81,924,3965
8610000US40258,40258,"ZIP 40258 (Louisville, KY)",00,Total for all sectors,2004,423,8323,51649,223746
8610000US40259,40259,"ZIP 40259 (Louisville, KY)",00,Total for all sectors,2004,13,119,652,3029
8610000US40261,40261,"ZIP 40261 (Louisville, KY)",00,Total for all sectors,2004,3,2,8,37
8610000US40266,40266,"ZIP 40266 (Louisville, KY)",00,Total for all sectors,2004,1,c,D,D
8610000US40268,40268,"ZIP 40268 (Louisville, KY)",00,Total for all sectors,2004,6,10,75,319
8610000US40269,40269,"ZIP 40269 (Louisville, KY)",00,Total for all sectors,2004,22,136,1011,4426
8610000US40270,40270,"ZIP 40270 (Louisville, KY)",00,Total for all sectors,2004,3,54,265,1418
8610000US40272,40272,"ZIP 40272 (Louisville, KY)",00,Total for all sectors,2004,418,5171,31780,130658
8610000US40280,40280,"ZIP 40280 (Louisville, KY)",00,Total for all sectors,2004,2,f,D,D
8610000US40285,40285,"ZIP 40285 (Louisville, KY)",00,Total for all sectors,2004,3,11,100,403
8610000US40290,40290,"ZIP 40290 (Louisville, KY)",00,Total for all sectors,2004,2,a,D,D
8610000US40291,40291,"ZIP 40291 (Louisville, KY)",00,Total for all sectors,2004,444,3830,17373,77401
8610000US40292,40292,"ZIP 40292 (Louisville, KY)",00,Total for all sectors,2004,8,60,155,783
8610000US40294,40294,"ZIP 40294 (Louisville, KY)",00,Total for all sectors,2004,1,b,D,D
8610000US40295,40295,"ZIP 40295 (Louisville, KY)",00,Total for all sectors,2004,2,b,D,D
8610000US40297,40297,"ZIP 40297 (Louisville, KY)",00,Total for all sectors,2004,1,b,D,D
8610000US40299,40299,"ZIP 40299 (Louisville, KY)",00,Total for all sectors,2004,1449,27062,227307,954941
8610000US40310,40310,"ZIP 40310 (Burgin, KY)",00,Total for all sectors,2004,18,221,3466,11717
8610000US40311,40311,"ZIP 40311 (Carlisle, KY)",00,Total for all sectors,2004,80,640,2754,11039
8610000US40312,40312,"ZIP 40312 (Clay City, KY)",00,Total for all sectors,2004,58,758,3314,14529
8610000US40313,40313,"ZIP 40313 (Clearfield, KY)",00,Total for all sectors,2004,19,49,137,665
8610000US40316,40316,"ZIP 40316 (Denniston, KY)",00,Total for all sectors,2004,2,a,D,D
8610000US40317,40317,"ZIP 40317 (Elliottville, KY)",00,Total for all sectors,2004,2,a,D,D
8610000US40319,40319,"ZIP 40319 (Farmers, KY)",00,Total for all sectors,2004,3,7,7,127
8610000US40320,40320,"ZIP 40320 (Ford, KY)",00,Total for all sectors,2004,2,b,D,D
8610000US40322,40322,"ZIP 40322 (Frenchburg, KY)",00,Total for all sectors,2004,46,338,1556,6469
8610000US40324,40324,"ZIP 40324 (Georgetown, KY)",00,Total for all sectors,2004,700,19162,182193,892829
8610000US40328,40328,"ZIP 40328 (Gravel Switch, KY)",00,Total for all sectors,2004,11,24,93,391
8610000US40330,40330,"ZIP 40330 (Harrodsburg, KY)",00,Total for all sectors,2004,366,5697,42584,177341
8610000US40334,40334,"ZIP 40334 (Hope, KY)",00,Total for all sectors,2004,2,b,D,D
8610000US40336,40336,"ZIP 40336 (Irvine, KY)",00,Total for all sectors,2004,181,1649,7514,31533
8610000US40337,40337,"ZIP 40337 (Jeffersonville, KY)",00,Total for all sectors,2004,32,223,831,3596
8610000US40339,40339,"ZIP 40339 (Keene, KY)",00,Total for all sectors,2004,3,a,D,D
8610000US40340,40340,"ZIP 40340 (Nicholasville, KY)",00,Total for all sectors,2004,27,174,1270,5508
8610000US40342,40342,"ZIP 40342 (Lawrenceburg, KY)",00,Total for all sectors,2004,290,3151,21677,88702
8610000US40346,40346,"ZIP 40346 (Means, KY)",00,Total for all sectors,2004,6,108,687,3244
8610000US40347,40347,"ZIP 40347 (Midway, KY)",00,Total for all sectors,2004,51,524,2733,12201
8610000US40348,40348,"ZIP 40348 (Millersburg, KY)",00,Total for all sectors,2004,11,293,2480,9767
8610000US40350,40350,"ZIP 40350 (Moorefield, KY)",00,Total for all sectors,2004,3,a,D,D
8610000US40351,40351,"ZIP 40351 (Morehead, KY)",00,Total for all sectors,2004,451,7011,38483,158645
8610000US40353,40353,"ZIP 40353 (Mount Sterling, KY)",00,Total for all sectors,2004,512,8157,47437,201615
8610000US40355,40355,"ZIP 40355 (New Liberty, KY)",00,Total for all sectors,2004,2,a,D,D
8610000US40356,40356,"ZIP 40356 (Nicholasville, KY)",00,Total for all sectors,2004,862,11417,73308,317288
8610000US40357,40357,"ZIP 40357 (North Middletown, KY)",00,Total for all sectors,2004,9,59,173,695
8610000US40358,40358,"ZIP 40358 (Olympia, KY)",00,Total for all sectors,2004,7,38,215,2544
8610000US40359,40359,"ZIP 40359 (Owenton, KY)",00,Total for all sectors,2004,107,1040,6382,25998
8610000US40360,40360,"ZIP 40360 (Owingsville, KY)",00,Total for all sectors,2004,93,1248,5938,25067
8610000US40361,40361,"ZIP 40361 (Paris, KY)",00,Total for all sectors,2004,331,4603,33958,148476
8610000US40362,40362,"ZIP 40362 (Paris, KY)",00,Total for all sectors,2004,33,1291,7802,36846
8610000US40363,40363,"ZIP 40363 (Perry Park, KY)",00,Total for all sectors,2004,4,52,118,781
8610000US40366,40366,"ZIP 40366 (Preston, KY)",00,Total for all sectors,2004,1,a,D,D
8610000US40370,40370,"ZIP 40370 (Sadieville, KY)",00,Total for all sectors,2004,22,101,294,1731
8610000US40371,40371,"ZIP 40371 (Salt Lick, KY)",00,Total for all sectors,2004,33,126,429,2262
8610000US40372,40372,"ZIP 40372 (Salvisa, KY)",00,Total for all sectors,2004,25,101,318,1524
8610000US40374,40374,"ZIP 40374 (Sharpsburg, KY)",00,Total for all sectors,2004,12,154,1316,5135
8610000US40376,40376,"ZIP 40376 (Slade, KY)",00,Total for all sectors,2004,9,8,12,145
8610000US40379,40379,"ZIP 40379 (Stamping Ground, KY)",00,Total for all sectors,2004,32,127,944,3908
8610000US40380,40380,"ZIP 40380 (Stanton, KY)",00,Total for all sectors,2004,113,1129,5003,21700
8610000US40383,40383,"ZIP 40383 (Versailles, KY)",00,Total for all sectors,2004,472,6712,53506,225293
8610000US40384,40384,"ZIP 40384 (Versailles, KY)",00,Total for all sectors,2004,2,b,D,D
8610000US40385,40385,"ZIP 40385 (Waco, KY)",00,Total for all sectors,2004,15,51,155,837
8610000US40387,40387,"ZIP 40387 (Wellington, KY)",00,Total for all sectors,2004,11,b,D,D
8610000US40390,40390,"ZIP 40390 (Wilmore, KY)",00,Total for all sectors,2004,69,1867,7343,29712
8610000US40391,40391,"ZIP 40391 (Winchester, KY)",00,Total for all sectors,2004,733,11302,73358,309155
8610000US40392,40392,"ZIP 40392 (Winchester, KY)",00,Total for all sectors,2004,45,998,10219,40227
8610000US40402,40402,"ZIP 40402 (Annville, KY)",00,Total for all sectors,2004,43,1363,6854,29188
8610000US40403,40403,"ZIP 40403 (Berea, KY)",00,Total for all sectors,2004,377,7508,54485,227025
8610000US40404,40404,"ZIP 40404 (Berea, KY)",00,Total for all sectors,2004,5,77,211,796
8610000US40405,40405,"ZIP 40405 (Bighill, KY)",00,Total for all sectors,2004,2,a,D,D
8610000US40409,40409,"ZIP 40409 (Brodhead, KY)",00,Total for all sectors,2004,31,308,1462,6733
8610000US40410,40410,"ZIP 40410 (Bryantsville, KY)",00,Total for all sectors,2004,3,b,D,D
8610000US40419,40419,"ZIP 40419 (Crab Orchard, KY)",00,Total for all sectors,2004,23,120,298,1251
8610000US40422,40422,"ZIP 40422 (Danville, KY)",00,Total for all sectors,2004,703,13031,86746,365382
8610000US40423,40423,"ZIP 40423 (Danville, KY)",00,Total for all sectors,2004,41,658,2394,9858
8610000US40434,40434,"ZIP 40434 (Gray Hawk, KY)",00,Total for all sectors,2004,8,165,1139,4943
8610000US40437,40437,"ZIP 40437 (Hustonville, KY)",00,Total for all sectors,2004,38,223,782,3296
8610000US40440,40440,"ZIP 40440 (Junction City, KY)",00,Total for all sectors,2004,19,64,223,1067
8610000US40442,40442,"ZIP 40442 (Kings Mountain, KY)",00,Total for all sectors,2004,5,15,52,357
8610000US40444,40444,"ZIP 40444 (Lancaster, KY)",00,Total for all sectors,2004,182,1431,7151,31330
8610000US40445,40445,"ZIP 40445 (Livingston, KY)",00,Total for all sectors,2004,1,a,D,D
8610000US40446,40446,"ZIP 40446 (Lancaster, KY)",00,Total for all sectors,2004,9,b,D,D
8610000US40447,40447,"ZIP 40447 (Mc Kee, KY)",00,Total for all sectors,2004,85,885,4632,20920
8610000US40448,40448,"ZIP 40448 (Mc Kinney, KY)",00,Total for all sectors,2004,6,b,D,D
8610000US40452,40452,"ZIP 40452 (Mitchellsburg, KY)",00,Total for all sectors,2004,1,a,D,D
8610000US40456,40456,"ZIP 40456 (Mount Vernon, KY)",00,Total for all sectors,2004,180,2220,11217,46769
8610000US40460,40460,"ZIP 40460 (Orlando, KY)",00,Total for all sectors,2004,3,6,14,73
8610000US40461,40461,"ZIP 40461 (Paint Lick, KY)",00,Total for all sectors,2004,21,130,537,2900
8610000US40464,40464,"ZIP 40464 (Parksville, KY)",00,Total for all sectors,2004,5,7,22,131
8610000US40468,40468,"ZIP 40468 (Perryville, KY)",00,Total for all sectors,2004,25,113,391,1774
8610000US40472,40472,"ZIP 40472 (Ravenna, KY)",00,Total for all sectors,2004,18,b,D,D
8610000US40473,40473,"ZIP 40473 (Renfro Valley, KY)",00,Total for all sectors,2004,5,121,238,1352
8610000US40475,40475,"ZIP 40475 (Richmond, KY)",00,Total for all sectors,2004,1056,14047,73533,312536
8610000US40476,40476,"ZIP 40476 (Richmond, KY)",00,Total for all sectors,2004,50,1083,9236,37957
8610000US40481,40481,"ZIP 40481 (Sandgap, KY)",00,Total for all sectors,2004,7,b,D,D
8610000US40484,40484,"ZIP 40484 (Stanford, KY)",00,Total for all sectors,2004,196,2329,12937,56272
8610000US40486,40486,"ZIP 40486 (Tyner, KY)",00,Total for all sectors,2004,9,91,392,1791
8610000US40489,40489,"ZIP 40489 (Waynesburg, KY)",00,Total for all sectors,2004,33,155,576,2778
8610000US40492,40492,"ZIP 40492 (Wildie, KY)",00,Total for all sectors,2004,1,a,D,D
8610000US40495,40495,"ZIP 40495 (Winston, KY)",00,Total for all sectors,2004,2,a,D,D
8610000US40502,40502,"ZIP 40502 (Lexington, KY)",00,Total for all sectors,2004,693,9684,63295,285534
8610000US40503,40503,"ZIP 40503 (Lexington, KY)",00,Total for all sectors,2004,1427,23647,158610,673488
