GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US40111,40111,"ZIP 40111 (Cloverport, KY)",00,Total for all sectors,2011,21,149,558,2452
8610000US40115,40115,"ZIP 40115 (Custer, KY)",00,Total for all sectors,2011,5,28,216,728
8610000US40117,40117,"ZIP 40117 (Ekron, KY)",00,Total for all sectors,2011,24,109,474,2182
8610000US40118,40118,"ZIP 40118 (Fairdale, KY)",00,Total for all sectors,2011,77,831,5384,24511
8610000US40119,40119,"ZIP 40119 (Falls of Rough, KY)",00,Total for all sectors,2011,20,82,S,2021
8610000US40121,40121,"ZIP 40121 (Fort Knox, KY)",00,Total for all sectors,2011,91,1816,22272,89671
8610000US40122,40122,"ZIP 40122 (Fort Knox, KY)",00,Total for all sectors,2011,4,c,D,D
8610000US40129,40129,"ZIP 40129 (Hillview, KY)",00,Total for all sectors,2011,1,a,D,D
8610000US40140,40140,"ZIP 40140 (Garfield, KY)",00,Total for all sectors,2011,4,b,D,D
8610000US40142,40142,"ZIP 40142 (Guston, KY)",00,Total for all sectors,2011,10,9,68,354
8610000US40143,40143,"ZIP 40143 (Hardinsburg, KY)",00,Total for all sectors,2011,155,1615,9998,43147
8610000US40144,40144,"ZIP 40144 (Harned, KY)",00,Total for all sectors,2011,18,50,242,860
8610000US40145,40145,"ZIP 40145 (Hudson, KY)",00,Total for all sectors,2011,8,b,D,D
8610000US40146,40146,"ZIP 40146 (Irvington, KY)",00,Total for all sectors,2011,45,292,1574,7283
8610000US40150,40150,"ZIP 40150 (Lebanon Junction, KY)",00,Total for all sectors,2011,48,990,7720,31373
8610000US40152,40152,"ZIP 40152 (Mc Daniels, KY)",00,Total for all sectors,2011,16,61,322,1502
8610000US40153,40153,"ZIP 40153 (Mc Quady, KY)",00,Total for all sectors,2011,2,b,D,D
8610000US40155,40155,"ZIP 40155 (Muldraugh, KY)",00,Total for all sectors,2011,24,357,3683,16259
8610000US40157,40157,"ZIP 40157 (Payneville, KY)",00,Total for all sectors,2011,6,a,S,322
8610000US40159,40159,"ZIP 40159 (Radcliff, KY)",00,Total for all sectors,2011,7,f,D,D
8610000US40160,40160,"ZIP 40160 (Radcliff, KY)",00,Total for all sectors,2011,414,5427,28211,114730
8610000US40161,40161,"ZIP 40161 (Rhodelia, KY)",00,Total for all sectors,2011,2,a,D,D
8610000US40162,40162,"ZIP 40162 (Rineyville, KY)",00,Total for all sectors,2011,49,154,679,3463
8610000US40165,40165,"ZIP 40165 (Shepherdsville, KY)",00,Total for all sectors,2011,529,7914,51906,247339
8610000US40170,40170,"ZIP 40170 (Stephensport, KY)",00,Total for all sectors,2011,6,6,26,111
8610000US40171,40171,"ZIP 40171 (Union Star, KY)",00,Total for all sectors,2011,3,c,D,D
