GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQ1T,PAYANT
Geographic identifier code,Id2,Geographic area name,2002 NAICS code,Meaning of 2002 NAICS code,Year,Number of establishments,Number of employees,"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US40003,40003,"ZIP 40003 (Bagdad, KY)",00,Total for all sectors,2005,22,231,862,3764
8610000US40004,40004,"ZIP 40004 (Bardstown, KY)",00,Total for all sectors,2005,664,11109,71354,315729
8610000US40006,40006,"ZIP 40006 (Bedford, KY)",00,Total for all sectors,2005,51,353,3031,11571
8610000US40007,40007,"ZIP 40007 (Bethlehem, KY)",00,Total for all sectors,2005,4,59,387,1440
8610000US40008,40008,"ZIP 40008 (Bloomfield, KY)",00,Total for all sectors,2005,61,362,1574,6655
8610000US40009,40009,"ZIP 40009 (Bradfordsville, KY)",00,Total for all sectors,2005,5,10,50,186
8610000US40010,40010,"ZIP 40010 (Buckner, KY)",00,Total for all sectors,2005,60,1335,11258,47359
8610000US40011,40011,"ZIP 40011 (Campbellsburg, KY)",00,Total for all sectors,2005,25,117,537,2270
8610000US40012,40012,"ZIP 40012 (Chaplin, KY)",00,Total for all sectors,2005,9,48,248,1055
8610000US40013,40013,"ZIP 40013 (Coxs Creek, KY)",00,Total for all sectors,2005,56,332,1760,8122
8610000US40014,40014,"ZIP 40014 (Crestwood, KY)",00,Total for all sectors,2005,432,2534,15844,70767
8610000US40018,40018,"ZIP 40018 (Eastwood, KY)",00,Total for all sectors,2005,7,30,154,813
8610000US40019,40019,"ZIP 40019 (Eminence, KY)",00,Total for all sectors,2005,71,1098,7281,31357
8610000US40020,40020,"ZIP 40020 (Fairfield, KY)",00,Total for all sectors,2005,4,9,16,75
8610000US40022,40022,"ZIP 40022 (Finchville, KY)",00,Total for all sectors,2005,16,55,251,1363
8610000US40023,40023,"ZIP 40023 (Fisherville, KY)",00,Total for all sectors,2005,73,278,1572,8663
8610000US40025,40025,"ZIP 40025 (Glenview, KY)",00,Total for all sectors,2005,7,12,107,501
8610000US40026,40026,"ZIP 40026 (Goshen, KY)",00,Total for all sectors,2005,73,269,1511,7431
8610000US40027,40027,"ZIP 40027 (Harrods Creek, KY)",00,Total for all sectors,2005,10,193,508,3053
8610000US40031,40031,"ZIP 40031 (La Grange, KY)",00,Total for all sectors,2005,431,4916,27131,131159
8610000US40032,40032,"ZIP 40032 (La Grange, KY)",00,Total for all sectors,2005,1,b,D,D
8610000US40033,40033,"ZIP 40033 (Lebanon, KY)",00,Total for all sectors,2005,304,5812,36841,165890
8610000US40036,40036,"ZIP 40036 (Lockport, KY)",00,Total for all sectors,2005,2,b,D,D
8610000US40037,40037,"ZIP 40037 (Loretto, KY)",00,Total for all sectors,2005,26,225,1197,6406
8610000US40040,40040,"ZIP 40040 (Mackville, KY)",00,Total for all sectors,2005,9,13,60,352
8610000US40041,40041,"ZIP 40041 (Masonic Home, KY)",00,Total for all sectors,2005,2,e,D,D
8610000US40045,40045,"ZIP 40045 (Milton, KY)",00,Total for all sectors,2005,30,e,D,D
8610000US40046,40046,"ZIP 40046 (Mount Eden, KY)",00,Total for all sectors,2005,16,33,125,890
8610000US40047,40047,"ZIP 40047 (Mount Washington, KY)",00,Total for all sectors,2005,213,1669,8376,39887
8610000US40048,40048,"ZIP 40048 (Nazareth, KY)",00,Total for all sectors,2005,5,c,D,D
8610000US40049,40049,"ZIP 40049 (Nerinx, KY)",00,Total for all sectors,2005,2,c,D,D
8610000US40050,40050,"ZIP 40050 (New Castle, KY)",00,Total for all sectors,2005,40,243,1213,5272
8610000US40051,40051,"ZIP 40051 (New Haven, KY)",00,Total for all sectors,2005,83,548,2792,12670
8610000US40052,40052,"ZIP 40052 (New Hope, KY)",00,Total for all sectors,2005,7,39,180,767
8610000US40055,40055,"ZIP 40055 (Pendleton, KY)",00,Total for all sectors,2005,30,268,789,3587
8610000US40056,40056,"ZIP 40056 (Pewee Valley, KY)",00,Total for all sectors,2005,74,570,3228,14284
8610000US40057,40057,"ZIP 40057 (Pleasureville, KY)",00,Total for all sectors,2005,23,113,764,3611
8610000US40058,40058,"ZIP 40058 (Port Royal, KY)",00,Total for all sectors,2005,6,25,102,408
8610000US40059,40059,"ZIP 40059 (Prospect, KY)",00,Total for all sectors,2005,326,2080,11288,57377
8610000US40060,40060,"ZIP 40060 (Raywick, KY)",00,Total for all sectors,2005,14,44,68,301
8610000US40061,40061,"ZIP 40061 (Saint Catharine, KY)",00,Total for all sectors,2005,7,363,1612,6405
8610000US40062,40062,"ZIP 40062 (Saint Francis, KY)",00,Total for all sectors,2005,3,a,D,D
8610000US40063,40063,"ZIP 40063 (Saint Mary, KY)",00,Total for all sectors,2005,2,c,D,D
8610000US40065,40065,"ZIP 40065 (Shelbyville, KY)",00,Total for all sectors,2005,599,10345,75798,317262
8610000US40066,40066,"ZIP 40066 (Shelbyville, KY)",00,Total for all sectors,2005,22,159,825,3252
8610000US40067,40067,"ZIP 40067 (Simpsonville, KY)",00,Total for all sectors,2005,123,1673,10724,44278
8610000US40068,40068,"ZIP 40068 (Smithfield, KY)",00,Total for all sectors,2005,24,255,1057,4910
8610000US40069,40069,"ZIP 40069 (Springfield, KY)",00,Total for all sectors,2005,204,2324,14941,68126
8610000US40070,40070,"ZIP 40070 (Sulphur, KY)",00,Total for all sectors,2005,7,47,349,1367
8610000US40071,40071,"ZIP 40071 (Taylorsville, KY)",00,Total for all sectors,2005,178,945,4393,20018
8610000US40075,40075,"ZIP 40075 (Turners Station, KY)",00,Total for all sectors,2005,10,30,129,584
8610000US40076,40076,"ZIP 40076 (Waddy, KY)",00,Total for all sectors,2005,29,209,942,3888
8610000US40077,40077,"ZIP 40077 (Westport, KY)",00,Total for all sectors,2005,10,37,131,670
8610000US40078,40078,"ZIP 40078 (Willisburg, KY)",00,Total for all sectors,2005,16,37,130,561
8610000US40104,40104,"ZIP 40104 (Battletown, KY)",00,Total for all sectors,2005,8,101,810,3375
8610000US40107,40107,"ZIP 40107 (Boston, KY)",00,Total for all sectors,2005,29,243,844,6120
8610000US40108,40108,"ZIP 40108 (Brandenburg, KY)",00,Total for all sectors,2005,209,2223,12808,55336
8610000US40109,40109,"ZIP 40109 (Brooks, KY)",00,Total for all sectors,2005,63,437,2408,11657
8610000US40110,40110,"ZIP 40110 (Clermont, KY)",00,Total for all sectors,2005,5,e,D,D
8610000US40111,40111,"ZIP 40111 (Cloverport, KY)",00,Total for all sectors,2005,19,127,393,2067
8610000US40115,40115,"ZIP 40115 (Custer, KY)",00,Total for all sectors,2005,3,b,D,D
8610000US40117,40117,"ZIP 40117 (Ekron, KY)",00,Total for all sectors,2005,18,87,398,1762
8610000US40118,40118,"ZIP 40118 (Fairdale, KY)",00,Total for all sectors,2005,103,1069,6333,28631
8610000US40119,40119,"ZIP 40119 (Falls Of Rough, KY)",00,Total for all sectors,2005,23,94,393,1824
8610000US40121,40121,"ZIP 40121 (Fort Knox, KY)",00,Total for all sectors,2005,63,1284,14084,61187
8610000US40129,40129,"ZIP 40129 (Hillview, KY)",00,Total for all sectors,2005,2,a,D,D
8610000US40140,40140,"ZIP 40140 (Garfield, KY)",00,Total for all sectors,2005,5,a,D,D
8610000US40142,40142,"ZIP 40142 (Guston, KY)",00,Total for all sectors,2005,11,23,85,511
8610000US40143,40143,"ZIP 40143 (Hardinsburg, KY)",00,Total for all sectors,2005,172,1632,8394,37343
8610000US40144,40144,"ZIP 40144 (Harned, KY)",00,Total for all sectors,2005,22,73,293,1308
8610000US40145,40145,"ZIP 40145 (Hudson, KY)",00,Total for all sectors,2005,6,32,150,777
8610000US40146,40146,"ZIP 40146 (Irvington, KY)",00,Total for all sectors,2005,45,310,1252,5811
8610000US40150,40150,"ZIP 40150 (Lebanon Junction, KY)",00,Total for all sectors,2005,55,1118,8938,35999
