GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,YEAR.display-label,ESTAB,EMP,EMP_N,PAYQTR1,PAYQTR1_N,PAYANN,PAYANN_N
Geographic identifier code,Id2,Geographic area name,2002 NAICS code,Meaning of 2002 NAICS code,Year,Meaning of Year,Number of establishments,Number of employees,Noise range for number of employees (%),"First-quarter payroll ($1,000)",Noise range for first-quarter payroll (%),"Annual payroll ($1,000)",Noise range for annual payroll (%)
8610000US40003,40003,"ZIP 40003 (Bagdad, KY)",00,Total for all sectors,2007,Reference year 2007,25,174,G,928,G,3891,G
8610000US40004,40004,"ZIP 40004 (Bardstown, KY)",00,Total for all sectors,2007,Reference year 2007,704,10688,G,76695,G,324737,G
8610000US40006,40006,"ZIP 40006 (Bedford, KY)",00,Total for all sectors,2007,Reference year 2007,50,345,G,3427,G,12740,G
8610000US40007,40007,"ZIP 40007 (Bethlehem, KY)",00,Total for all sectors,2007,Reference year 2007,3,e,D,D,D,D,D
8610000US40008,40008,"ZIP 40008 (Bloomfield, KY)",00,Total for all sectors,2007,Reference year 2007,54,247,H,1269,G,5505,G
8610000US40009,40009,"ZIP 40009 (Bradfordsville, KY)",00,Total for all sectors,2007,Reference year 2007,4,7,G,39,G,137,G
8610000US40010,40010,"ZIP 40010 (Buckner, KY)",00,Total for all sectors,2007,Reference year 2007,66,1283,G,9206,G,40814,G
8610000US40011,40011,"ZIP 40011 (Campbellsburg, KY)",00,Total for all sectors,2007,Reference year 2007,28,207,H,909,G,4383,G
8610000US40012,40012,"ZIP 40012 (Chaplin, KY)",00,Total for all sectors,2007,Reference year 2007,11,43,H,171,G,745,G
8610000US40013,40013,"ZIP 40013 (Coxs Creek, KY)",00,Total for all sectors,2007,Reference year 2007,60,381,G,2205,G,9676,H
8610000US40014,40014,"ZIP 40014 (Crestwood, KY)",00,Total for all sectors,2007,Reference year 2007,449,2465,G,14460,G,60640,G
8610000US40018,40018,"ZIP 40018 (Eastwood, KY)",00,Total for all sectors,2007,Reference year 2007,3,a,D,D,D,D,D
8610000US40019,40019,"ZIP 40019 (Eminence, KY)",00,Total for all sectors,2007,Reference year 2007,71,1069,G,7663,G,32004,G
8610000US40020,40020,"ZIP 40020 (Fairfield, KY)",00,Total for all sectors,2007,Reference year 2007,4,a,D,D,D,D,D
8610000US40022,40022,"ZIP 40022 (Finchville, KY)",00,Total for all sectors,2007,Reference year 2007,16,68,G,326,H,2013,G
8610000US40023,40023,"ZIP 40023 (Fisherville, KY)",00,Total for all sectors,2007,Reference year 2007,72,330,G,2079,G,8749,G
8610000US40025,40025,"ZIP 40025 (Glenview, KY)",00,Total for all sectors,2007,Reference year 2007,4,a,D,D,D,D,D
8610000US40026,40026,"ZIP 40026 (Goshen, KY)",00,Total for all sectors,2007,Reference year 2007,74,300,H,1601,G,7712,H
8610000US40027,40027,"ZIP 40027 (Harrods Creek, KY)",00,Total for all sectors,2007,Reference year 2007,11,b,S,336,H,1601,H
8610000US40031,40031,"ZIP 40031 (La Grange, KY)",00,Total for all sectors,2007,Reference year 2007,441,5265,G,39520,G,169283,G
8610000US40032,40032,"ZIP 40032 (La Grange, KY)",00,Total for all sectors,2007,Reference year 2007,2,a,D,D,D,D,D
8610000US40033,40033,"ZIP 40033 (Lebanon, KY)",00,Total for all sectors,2007,Reference year 2007,310,6256,H,43946,H,183125,H
8610000US40036,40036,"ZIP 40036 (Lockport, KY)",00,Total for all sectors,2007,Reference year 2007,2,b,D,D,D,D,D
8610000US40037,40037,"ZIP 40037 (Loretto, KY)",00,Total for all sectors,2007,Reference year 2007,25,c,D,D,D,D,D
8610000US40040,40040,"ZIP 40040 (Mackville, KY)",00,Total for all sectors,2007,Reference year 2007,8,17,G,99,G,398,G
8610000US40041,40041,"ZIP 40041 (Masonic Home, KY)",00,Total for all sectors,2007,Reference year 2007,3,c,D,D,D,D,D
8610000US40045,40045,"ZIP 40045 (Milton, KY)",00,Total for all sectors,2007,Reference year 2007,28,169,G,988,G,4506,G
8610000US40046,40046,"ZIP 40046 (Mount Eden, KY)",00,Total for all sectors,2007,Reference year 2007,16,b,S,181,G,880,G
8610000US40047,40047,"ZIP 40047 (Mount Washington, KY)",00,Total for all sectors,2007,Reference year 2007,248,1917,G,9441,G,39770,G
8610000US40048,40048,"ZIP 40048 (Nazareth, KY)",00,Total for all sectors,2007,Reference year 2007,4,c,D,D,D,D,D
8610000US40049,40049,"ZIP 40049 (Nerinx, KY)",00,Total for all sectors,2007,Reference year 2007,2,c,D,D,D,D,D
8610000US40050,40050,"ZIP 40050 (New Castle, KY)",00,Total for all sectors,2007,Reference year 2007,43,219,G,1308,G,5472,G
8610000US40051,40051,"ZIP 40051 (New Haven, KY)",00,Total for all sectors,2007,Reference year 2007,75,430,G,1876,G,8105,G
8610000US40052,40052,"ZIP 40052 (New Hope, KY)",00,Total for all sectors,2007,Reference year 2007,6,b,D,D,D,D,D
