GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,YEAR.display-label,ESTAB,EMP,EMP_N,PAYQTR1,PAYQTR1_N,PAYANN,PAYANN_N
8610000US40055,40055,"ZIP 40055 (Pendleton, KY)",00,Total for all sectors,2007,Reference year 2007,33,260,G,1057,G,4541,G
8610000US40056,40056,"ZIP 40056 (Pewee Valley, KY)",00,Total for all sectors,2007,Reference year 2007,63,529,G,3471,G,14726,G
8610000US40057,40057,"ZIP 40057 (Pleasureville, KY)",00,Total for all sectors,2007,Reference year 2007,18,61,H,S,S,1233,H
8610000US40058,40058,"ZIP 40058 (Port Royal, KY)",00,Total for all sectors,2007,Reference year 2007,4,17,G,73,H,272,H
8610000US40059,40059,"ZIP 40059 (Prospect, KY)",00,Total for all sectors,2007,Reference year 2007,365,2051,G,14423,G,58213,G
8610000US40060,40060,"ZIP 40060 (Raywick, KY)",00,Total for all sectors,2007,Reference year 2007,8,23,G,46,G,229,G
8610000US40061,40061,"ZIP 40061 (Saint Catharine, KY)",00,Total for all sectors,2007,Reference year 2007,6,368,G,1770,G,6978,G
8610000US40062,40062,"ZIP 40062 (Saint Francis, KY)",00,Total for all sectors,2007,Reference year 2007,1,a,D,D,D,D,D
8610000US40063,40063,"ZIP 40063 (Saint Mary, KY)",00,Total for all sectors,2007,Reference year 2007,2,c,D,D,D,D,D
8610000US40065,40065,"ZIP 40065 (Shelbyville, KY)",00,Total for all sectors,2007,Reference year 2007,645,11362,G,84997,G,339238,G
8610000US40066,40066,"ZIP 40066 (Shelbyville, KY)",00,Total for all sectors,2007,Reference year 2007,25,149,G,848,G,3555,G
8610000US40067,40067,"ZIP 40067 (Simpsonville, KY)",00,Total for all sectors,2007,Reference year 2007,109,1230,G,8535,G,35279,G
8610000US40068,40068,"ZIP 40068 (Smithfield, KY)",00,Total for all sectors,2007,Reference year 2007,26,259,G,1415,G,5968,G
8610000US40069,40069,"ZIP 40069 (Springfield, KY)",00,Total for all sectors,2007,Reference year 2007,216,2605,G,17093,G,76473,G
8610000US40070,40070,"ZIP 40070 (Sulphur, KY)",00,Total for all sectors,2007,Reference year 2007,7,53,G,497,G,2063,G
8610000US40071,40071,"ZIP 40071 (Taylorsville, KY)",00,Total for all sectors,2007,Reference year 2007,191,1125,G,5606,G,24881,G
8610000US40075,40075,"ZIP 40075 (Turners Station, KY)",00,Total for all sectors,2007,Reference year 2007,6,a,S,90,G,415,G
8610000US40076,40076,"ZIP 40076 (Waddy, KY)",00,Total for all sectors,2007,Reference year 2007,31,c,S,980,H,3940,H
8610000US40077,40077,"ZIP 40077 (Westport, KY)",00,Total for all sectors,2007,Reference year 2007,9,b,S,154,G,547,G
8610000US40078,40078,"ZIP 40078 (Willisburg, KY)",00,Total for all sectors,2007,Reference year 2007,19,31,G,148,G,675,G
8610000US40104,40104,"ZIP 40104 (Battletown, KY)",00,Total for all sectors,2007,Reference year 2007,8,86,G,712,G,2997,G
8610000US40107,40107,"ZIP 40107 (Boston, KY)",00,Total for all sectors,2007,Reference year 2007,29,e,D,D,D,D,D
8610000US40108,40108,"ZIP 40108 (Brandenburg, KY)",00,Total for all sectors,2007,Reference year 2007,213,2542,G,18723,G,73254,G
8610000US40109,40109,"ZIP 40109 (Brooks, KY)",00,Total for all sectors,2007,Reference year 2007,63,1084,G,7589,G,31902,G
8610000US40110,40110,"ZIP 40110 (Clermont, KY)",00,Total for all sectors,2007,Reference year 2007,6,e,D,D,D,D,D
8610000US40111,40111,"ZIP 40111 (Cloverport, KY)",00,Total for all sectors,2007,Reference year 2007,18,151,H,549,G,2652,G
8610000US40115,40115,"ZIP 40115 (Custer, KY)",00,Total for all sectors,2007,Reference year 2007,3,a,D,D,D,D,D
8610000US40117,40117,"ZIP 40117 (Ekron, KY)",00,Total for all sectors,2007,Reference year 2007,18,103,G,414,G,1688,G
8610000US40118,40118,"ZIP 40118 (Fairdale, KY)",00,Total for all sectors,2007,Reference year 2007,97,1046,G,6699,G,28462,G
8610000US40119,40119,"ZIP 40119 (Falls of Rough, KY)",00,Total for all sectors,2007,Reference year 2007,25,105,G,497,H,2263,H
8610000US40121,40121,"ZIP 40121 (Fort Knox, KY)",00,Total for all sectors,2007,Reference year 2007,60,1277,G,16120,G,65448,G
8610000US40129,40129,"ZIP 40129 (Hillview, KY)",00,Total for all sectors,2007,Reference year 2007,5,7,G,36,G,159,G
8610000US40140,40140,"ZIP 40140 (Garfield, KY)",00,Total for all sectors,2007,Reference year 2007,3,a,D,D,D,D,D
8610000US40142,40142,"ZIP 40142 (Guston, KY)",00,Total for all sectors,2007,Reference year 2007,12,42,G,149,G,591,G
8610000US40143,40143,"ZIP 40143 (Hardinsburg, KY)",00,Total for all sectors,2007,Reference year 2007,159,1665,G,9821,G,42258,G
8610000US40144,40144,"ZIP 40144 (Harned, KY)",00,Total for all sectors,2007,Reference year 2007,22,59,H,286,H,1129,H
8610000US40145,40145,"ZIP 40145 (Hudson, KY)",00,Total for all sectors,2007,Reference year 2007,4,b,D,D,D,D,D
8610000US40146,40146,"ZIP 40146 (Irvington, KY)",00,Total for all sectors,2007,Reference year 2007,46,334,G,1635,G,7504,G
8610000US40150,40150,"ZIP 40150 (Lebanon Junction, KY)",00,Total for all sectors,2007,Reference year 2007,55,1172,G,9594,G,39462,G
8610000US40152,40152,"ZIP 40152 (Mc Daniels, KY)",00,Total for all sectors,2007,Reference year 2007,15,65,G,309,G,1357,G
8610000US40153,40153,"ZIP 40153 (Mc Quady, KY)",00,Total for all sectors,2007,Reference year 2007,2,b,D,D,D,D,D
8610000US40155,40155,"ZIP 40155 (Muldraugh, KY)",00,Total for all sectors,2007,Reference year 2007,22,443,H,3733,H,15687,H
8610000US40157,40157,"ZIP 40157 (Payneville, KY)",00,Total for all sectors,2007,Reference year 2007,11,40,G,172,G,694,G
8610000US40159,40159,"ZIP 40159 (Radcliff, KY)",00,Total for all sectors,2007,Reference year 2007,9,f,D,D,D,D,D
8610000US40160,40160,"ZIP 40160 (Radcliff, KY)",00,Total for all sectors,2007,Reference year 2007,403,4983,G,27353,G,110493,G
8610000US40161,40161,"ZIP 40161 (Rhodelia, KY)",00,Total for all sectors,2007,Reference year 2007,2,a,D,D,D,D,D
8610000US40162,40162,"ZIP 40162 (Rineyville, KY)",00,Total for all sectors,2007,Reference year 2007,47,183,H,836,G,3570,G
8610000US40165,40165,"ZIP 40165 (Shepherdsville, KY)",00,Total for all sectors,2007,Reference year 2007,545,7823,G,47074,G,209730,G
8610000US40170,40170,"ZIP 40170 (Stephensport, KY)",00,Total for all sectors,2007,Reference year 2007,1,a,D,D,D,D,D
8610000US40171,40171,"ZIP 40171 (Union Star, KY)",00,Total for all sectors,2007,Reference year 2007,2,c,D,D,D,D,D
8610000US40175,40175,"ZIP 40175 (Vine Grove, KY)",00,Total for all sectors,2007,Reference year 2007,108,790,H,3622,H,17904,H
8610000US40176,40176,"ZIP 40176 (Webster, KY)",00,Total for all sectors,2007,Reference year 2007,9,b,S,247,H,1151,H
8610000US40177,40177,"ZIP 40177 (West Point, KY)",00,Total for all sectors,2007,Reference year 2007,19,b,S,247,H,1218,H
8610000US40178,40178,"ZIP 40178 (Westview, KY)",00,Total for all sectors,2007,Reference year 2007,1,a,D,D,D,D,D
8610000US40201,40201,"ZIP 40201 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,39,1152,G,17981,G,68798,G
8610000US40202,40202,"ZIP 40202 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,1584,47161,G,659914,G,2490884,G
8610000US40203,40203,"ZIP 40203 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,551,10837,G,86915,G,348569,G
8610000US40204,40204,"ZIP 40204 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,568,7320,G,55002,G,225917,G
8610000US40205,40205,"ZIP 40205 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,658,10914,G,91076,G,365049,G
8610000US40206,40206,"ZIP 40206 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,623,11090,H,97634,H,408712,H
8610000US40207,40207,"ZIP 40207 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,1654,25314,G,202969,G,873565,G
8610000US40208,40208,"ZIP 40208 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,299,7040,G,60437,G,263719,G
8610000US40209,40209,"ZIP 40209 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,203,6811,G,57634,G,248244,G
8610000US40210,40210,"ZIP 40210 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,192,5967,G,64285,G,293723,G
8610000US40211,40211,"ZIP 40211 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,288,5771,G,58937,G,230296,G
8610000US40212,40212,"ZIP 40212 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,143,2250,G,16549,G,69438,G
8610000US40213,40213,"ZIP 40213 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,808,31304,H,512614,H,1797806,H
8610000US40214,40214,"ZIP 40214 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,683,11699,G,95558,G,405431,G
8610000US40215,40215,"ZIP 40215 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,208,3235,G,27848,G,115759,G
8610000US40216,40216,"ZIP 40216 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,689,11719,G,97906,G,385512,G
8610000US40217,40217,"ZIP 40217 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,294,5754,G,46222,G,195812,G
8610000US40218,40218,"ZIP 40218 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,986,21508,G,170125,G,714575,G
8610000US40219,40219,"ZIP 40219 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,849,19033,G,196103,G,654012,G
8610000US40220,40220,"ZIP 40220 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,663,10368,G,71136,G,292622,G
8610000US40221,40221,"ZIP 40221 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,21,175,G,1103,G,4794,G
8610000US40222,40222,"ZIP 40222 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,1144,23367,G,152151,G,950869,G
8610000US40223,40223,"ZIP 40223 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,1126,26375,G,314198,H,1212296,G
8610000US40224,40224,"ZIP 40224 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,8,295,G,1796,G,7317,G
8610000US40225,40225,"ZIP 40225 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,7,g,D,D,D,D,D
8610000US40228,40228,"ZIP 40228 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,287,3379,G,22962,G,91897,G
8610000US40229,40229,"ZIP 40229 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,361,10677,G,81117,G,307480,G
8610000US40231,40231,"ZIP 40231 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,2,b,D,D,D,D,D
8610000US40232,40232,"ZIP 40232 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,39,2703,G,68050,G,215749,G
8610000US40233,40233,"ZIP 40233 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,11,183,G,2343,G,12212,G
8610000US40241,40241,"ZIP 40241 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,629,9501,G,57347,G,236481,G
8610000US40242,40242,"ZIP 40242 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,123,859,G,5492,G,22424,G
8610000US40243,40243,"ZIP 40243 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,554,5910,G,41656,G,189213,G
8610000US40245,40245,"ZIP 40245 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,444,5408,G,43279,G,184886,G
8610000US40250,40250,"ZIP 40250 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,12,b,S,563,H,2104,H
8610000US40251,40251,"ZIP 40251 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,7,35,G,190,G,761,G
8610000US40252,40252,"ZIP 40252 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,14,88,G,642,G,3130,G
8610000US40253,40253,"ZIP 40253 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,22,151,H,1140,G,4419,G
8610000US40255,40255,"ZIP 40255 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,7,6,G,23,G,111,G
8610000US40256,40256,"ZIP 40256 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,9,c,S,1461,H,6563,H
8610000US40257,40257,"ZIP 40257 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,9,74,G,1031,G,4447,G
8610000US40258,40258,"ZIP 40258 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,413,8899,G,63256,G,255641,G
8610000US40259,40259,"ZIP 40259 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,10,48,G,357,H,1506,G
8610000US40261,40261,"ZIP 40261 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,2,e,D,D,D,D,D
8610000US40266,40266,"ZIP 40266 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,1,c,D,D,D,D,D
8610000US40268,40268,"ZIP 40268 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,4,b,D,D,D,D,D
8610000US40269,40269,"ZIP 40269 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,18,133,G,884,G,3808,G
8610000US40270,40270,"ZIP 40270 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,3,b,D,D,D,D,D
8610000US40272,40272,"ZIP 40272 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,408,4533,G,31714,G,123041,G
8610000US40280,40280,"ZIP 40280 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,4,f,D,D,D,D,D
8610000US40281,40281,"ZIP 40281 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,1,a,D,D,D,D,D
8610000US40282,40282,"ZIP 40282 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,1,a,D,D,D,D,D
8610000US40285,40285,"ZIP 40285 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,1,a,D,D,D,D,D
8610000US40289,40289,"ZIP 40289 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,2,a,D,D,D,D,D
8610000US40291,40291,"ZIP 40291 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,485,4128,G,19245,G,81443,G
8610000US40292,40292,"ZIP 40292 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,9,c,S,S,S,4735,H
8610000US40294,40294,"ZIP 40294 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,1,a,D,D,D,D,D
8610000US40295,40295,"ZIP 40295 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,2,a,D,D,D,D,D
8610000US40297,40297,"ZIP 40297 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,1,a,D,D,D,D,D
8610000US40299,40299,"ZIP 40299 (Louisville, KY)",00,Total for all sectors,2007,Reference year 2007,1578,31952,G,300394,G,1234830,G
8610000US40310,40310,"ZIP 40310 (Burgin, KY)",00,Total for all sectors,2007,Reference year 2007,21,224,G,3447,G,12475,G
8610000US40311,40311,"ZIP 40311 (Carlisle, KY)",00,Total for all sectors,2007,Reference year 2007,87,626,G,3376,G,14074,G
8610000US40312,40312,"ZIP 40312 (Clay City, KY)",00,Total for all sectors,2007,Reference year 2007,56,569,G,2805,G,12529,G
8610000US40313,40313,"ZIP 40313 (Clearfield, KY)",00,Total for all sectors,2007,Reference year 2007,15,66,G,164,H,713,H
8610000US40317,40317,"ZIP 40317 (Elliottville, KY)",00,Total for all sectors,2007,Reference year 2007,1,a,D,D,D,D,D
8610000US40319,40319,"ZIP 40319 (Farmers, KY)",00,Total for all sectors,2007,Reference year 2007,5,a,S,18,G,240,H
8610000US40322,40322,"ZIP 40322 (Frenchburg, KY)",00,Total for all sectors,2007,Reference year 2007,48,407,H,1891,H,8006,G
8610000US40324,40324,"ZIP 40324 (Georgetown, KY)",00,Total for all sectors,2007,Reference year 2007,786,21943,G,255433,H,1033501,H
8610000US40328,40328,"ZIP 40328 (Gravel Switch, KY)",00,Total for all sectors,2007,Reference year 2007,10,23,G,93,H,378,H
8610000US40330,40330,"ZIP 40330 (Harrodsburg, KY)",00,Total for all sectors,2007,Reference year 2007,358,5414,G,50351,G,201028,G
8610000US40334,40334,"ZIP 40334 (Hope, KY)",00,Total for all sectors,2007,Reference year 2007,2,c,D,D,D,D,D
8610000US40336,40336,"ZIP 40336 (Irvine, KY)",00,Total for all sectors,2007,Reference year 2007,181,1711,G,8307,G,34190,G
8610000US40337,40337,"ZIP 40337 (Jeffersonville, KY)",00,Total for all sectors,2007,Reference year 2007,27,e,S,S,S,6446,H
8610000US40339,40339,"ZIP 40339 (Keene, KY)",00,Total for all sectors,2007,Reference year 2007,2,a,D,D,D,D,D
8610000US40340,40340,"ZIP 40340 (Nicholasville, KY)",00,Total for all sectors,2007,Reference year 2007,17,101,G,784,G,3532,G
8610000US40342,40342,"ZIP 40342 (Lawrenceburg, KY)",00,Total for all sectors,2007,Reference year 2007,326,3329,G,23904,G,99089,G
8610000US40346,40346,"ZIP 40346 (Means, KY)",00,Total for all sectors,2007,Reference year 2007,6,c,D,D,D,D,D
8610000US40347,40347,"ZIP 40347 (Midway, KY)",00,Total for all sectors,2007,Reference year 2007,47,683,H,3729,H,14732,H
8610000US40348,40348,"ZIP 40348 (Millersburg, KY)",00,Total for all sectors,2007,Reference year 2007,9,f,D,D,D,D,D
8610000US40350,40350,"ZIP 40350 (Moorefield, KY)",00,Total for all sectors,2007,Reference year 2007,1,a,D,D,D,D,D
8610000US40351,40351,"ZIP 40351 (Morehead, KY)",00,Total for all sectors,2007,Reference year 2007,456,6826,G,40187,H,170304,H
8610000US40353,40353,"ZIP 40353 (Mount Sterling, KY)",00,Total for all sectors,2007,Reference year 2007,524,9212,G,63671,G,268526,G
8610000US40355,40355,"ZIP 40355 (New Liberty, KY)",00,Total for all sectors,2007,Reference year 2007,2,a,D,D,D,D,D
8610000US40356,40356,"ZIP 40356 (Nicholasville, KY)",00,Total for all sectors,2007,Reference year 2007,919,12144,G,85214,G,372103,G
8610000US40357,40357,"ZIP 40357 (North Middletown, KY)",00,Total for all sectors,2007,Reference year 2007,7,44,G,166,G,687,G
8610000US40358,40358,"ZIP 40358 (Olympia, KY)",00,Total for all sectors,2007,Reference year 2007,9,42,G,559,G,3811,G
8610000US40359,40359,"ZIP 40359 (Owenton, KY)",00,Total for all sectors,2007,Reference year 2007,99,1030,G,7511,G,29578,G
8610000US40360,40360,"ZIP 40360 (Owingsville, KY)",00,Total for all sectors,2007,Reference year 2007,91,1177,G,6434,G,26504,G
8610000US40361,40361,"ZIP 40361 (Paris, KY)",00,Total for all sectors,2007,Reference year 2007,351,5545,G,44914,G,187204,G
8610000US40362,40362,"ZIP 40362 (Paris, KY)",00,Total for all sectors,2007,Reference year 2007,22,106,G,483,G,2046,G
8610000US40363,40363,"ZIP 40363 (Perry Park, KY)",00,Total for all sectors,2007,Reference year 2007,5,29,G,103,G,770,G
8610000US40366,40366,"ZIP 40366 (Preston, KY)",00,Total for all sectors,2007,Reference year 2007,2,a,D,D,D,D,D
8610000US40370,40370,"ZIP 40370 (Sadieville, KY)",00,Total for all sectors,2007,Reference year 2007,25,53,G,254,G,1118,G
8610000US40371,40371,"ZIP 40371 (Salt Lick, KY)",00,Total for all sectors,2007,Reference year 2007,39,138,G,651,G,3407,G
8610000US40372,40372,"ZIP 40372 (Salvisa, KY)",00,Total for all sectors,2007,Reference year 2007,32,151,H,607,G,2672,G
8610000US40374,40374,"ZIP 40374 (Sharpsburg, KY)",00,Total for all sectors,2007,Reference year 2007,13,154,H,912,G,5502,H
8610000US40376,40376,"ZIP 40376 (Slade, KY)",00,Total for all sectors,2007,Reference year 2007,11,a,S,19,G,284,G
8610000US40379,40379,"ZIP 40379 (Stamping Ground, KY)",00,Total for all sectors,2007,Reference year 2007,28,125,G,781,G,3453,G
8610000US40380,40380,"ZIP 40380 (Stanton, KY)",00,Total for all sectors,2007,Reference year 2007,114,1146,G,6182,G,26279,G
8610000US40383,40383,"ZIP 40383 (Versailles, KY)",00,Total for all sectors,2007,Reference year 2007,493,7670,G,66633,G,283617,G
8610000US40384,40384,"ZIP 40384 (Versailles, KY)",00,Total for all sectors,2007,Reference year 2007,1,b,D,D,D,D,D
8610000US40385,40385,"ZIP 40385 (Waco, KY)",00,Total for all sectors,2007,Reference year 2007,18,109,G,338,H,1474,H
8610000US40387,40387,"ZIP 40387 (Wellington, KY)",00,Total for all sectors,2007,Reference year 2007,15,b,S,114,H,1096,H
8610000US40390,40390,"ZIP 40390 (Wilmore, KY)",00,Total for all sectors,2007,Reference year 2007,80,2109,G,8235,G,32903,G
8610000US40391,40391,"ZIP 40391 (Winchester, KY)",00,Total for all sectors,2007,Reference year 2007,775,11899,G,84513,G,347634,G
8610000US40392,40392,"ZIP 40392 (Winchester, KY)",00,Total for all sectors,2007,Reference year 2007,36,758,H,8339,H,37061,H
8610000US40402,40402,"ZIP 40402 (Annville, KY)",00,Total for all sectors,2007,Reference year 2007,31,482,G,2359,G,8904,G
8610000US40403,40403,"ZIP 40403 (Berea, KY)",00,Total for all sectors,2007,Reference year 2007,388,6940,G,54516,G,225663,G
8610000US40404,40404,"ZIP 40404 (Berea, KY)",00,Total for all sectors,2007,Reference year 2007,4,b,D,D,D,D,D
8610000US40405,40405,"ZIP 40405 (Bighill, KY)",00,Total for all sectors,2007,Reference year 2007,2,a,D,D,D,D,D
8610000US40409,40409,"ZIP 40409 (Brodhead, KY)",00,Total for all sectors,2007,Reference year 2007,28,272,G,1421,G,7038,G
8610000US40410,40410,"ZIP 40410 (Bryantsville, KY)",00,Total for all sectors,2007,Reference year 2007,2,a,D,D,D,D,D
8610000US40419,40419,"ZIP 40419 (Crab Orchard, KY)",00,Total for all sectors,2007,Reference year 2007,28,101,G,371,G,1506,G
8610000US40422,40422,"ZIP 40422 (Danville, KY)",00,Total for all sectors,2007,Reference year 2007,716,13729,G,96407,H,419560,H
8610000US40423,40423,"ZIP 40423 (Danville, KY)",00,Total for all sectors,2007,Reference year 2007,30,356,G,1781,G,7239,G
8610000US40434,40434,"ZIP 40434 (Gray Hawk, KY)",00,Total for all sectors,2007,Reference year 2007,8,50,G,165,G,834,G
8610000US40437,40437,"ZIP 40437 (Hustonville, KY)",00,Total for all sectors,2007,Reference year 2007,42,236,G,869,G,3454,G
8610000US40440,40440,"ZIP 40440 (Junction City, KY)",00,Total for all sectors,2007,Reference year 2007,19,87,G,361,G,1595,G
