GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,EMP_N,PAYQTR1,PAYQTR1_N,PAYANN,PAYANN_N
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),Noise range for paid employees for pay period including March 12 (%),"First-quarter payroll ($1,000)",Noise range for first-quarter payroll (%),"Annual payroll ($1,000)",Noise range for annual payroll (%)
8610000US40003,40003,"ZIP 40003 (Bagdad, KY)",00,Total for all sectors,2009,23,192,G,998,G,4298,G
8610000US40004,40004,"ZIP 40004 (Bardstown, KY)",00,Total for all sectors,2009,712,10593,G,81104,G,356797,G
8610000US40006,40006,"ZIP 40006 (Bedford, KY)",00,Total for all sectors,2009,44,390,G,4272,G,16085,G
8610000US40007,40007,"ZIP 40007 (Bethlehem, KY)",00,Total for all sectors,2009,5,e,D,D,D,D,D
8610000US40008,40008,"ZIP 40008 (Bloomfield, KY)",00,Total for all sectors,2009,53,236,G,1287,G,6070,G
8610000US40009,40009,"ZIP 40009 (Bradfordsville, KY)",00,Total for all sectors,2009,4,6,G,31,G,176,G
8610000US40010,40010,"ZIP 40010 (Buckner, KY)",00,Total for all sectors,2009,56,1096,G,9996,G,42500,G
8610000US40011,40011,"ZIP 40011 (Campbellsburg, KY)",00,Total for all sectors,2009,27,186,G,1193,G,4277,G
8610000US40012,40012,"ZIP 40012 (Chaplin, KY)",00,Total for all sectors,2009,12,b,S,179,G,870,G
8610000US40013,40013,"ZIP 40013 (Coxs Creek, KY)",00,Total for all sectors,2009,57,e,S,1788,H,8223,H
8610000US40014,40014,"ZIP 40014 (Crestwood, KY)",00,Total for all sectors,2009,442,2228,G,13516,G,59130,G
8610000US40018,40018,"ZIP 40018 (Eastwood, KY)",00,Total for all sectors,2009,4,a,D,D,D,D,D
8610000US40019,40019,"ZIP 40019 (Eminence, KY)",00,Total for all sectors,2009,66,927,H,6857,H,26751,H
8610000US40020,40020,"ZIP 40020 (Fairfield, KY)",00,Total for all sectors,2009,3,a,D,D,D,D,D
8610000US40022,40022,"ZIP 40022 (Finchville, KY)",00,Total for all sectors,2009,21,65,G,355,G,2103,G
8610000US40023,40023,"ZIP 40023 (Fisherville, KY)",00,Total for all sectors,2009,70,255,G,1420,G,6176,G
8610000US40025,40025,"ZIP 40025 (Glenview, KY)",00,Total for all sectors,2009,4,a,S,135,G,536,G
8610000US40026,40026,"ZIP 40026 (Goshen, KY)",00,Total for all sectors,2009,72,263,G,1534,G,8175,H
