GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,EMP_N,PAYQTR1,PAYQTR1_N,PAYANN,PAYANN_N
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),Noise range for paid employees for pay period including March 12 (%),"First-quarter payroll ($1,000)",Noise range for first-quarter payroll (%),"Annual payroll ($1,000)",Noise range for annual payroll (%)
8610000US40076,40076,"ZIP 40076 (Waddy, KY)",00,Total for all sectors,2008,29,193,H,1001,H,3842,H
8610000US40077,40077,"ZIP 40077 (Westport, KY)",00,Total for all sectors,2008,8,26,H,118,G,523,G
8610000US40078,40078,"ZIP 40078 (Willisburg, KY)",00,Total for all sectors,2008,19,35,G,134,G,560,G
8610000US40104,40104,"ZIP 40104 (Battletown, KY)",00,Total for all sectors,2008,6,90,H,709,G,3297,G
8610000US40107,40107,"ZIP 40107 (Boston, KY)",00,Total for all sectors,2008,26,283,H,S,S,7320,H
8610000US40108,40108,"ZIP 40108 (Brandenburg, KY)",00,Total for all sectors,2008,216,2334,G,14704,G,57053,G
8610000US40109,40109,"ZIP 40109 (Brooks, KY)",00,Total for all sectors,2008,72,1258,G,9680,G,39464,G
8610000US40110,40110,"ZIP 40110 (Clermont, KY)",00,Total for all sectors,2008,6,e,D,D,D,D,D
8610000US40111,40111,"ZIP 40111 (Cloverport, KY)",00,Total for all sectors,2008,17,145,H,540,G,2366,G
8610000US40115,40115,"ZIP 40115 (Custer, KY)",00,Total for all sectors,2008,3,18,G,93,G,378,G
8610000US40117,40117,"ZIP 40117 (Ekron, KY)",00,Total for all sectors,2008,19,100,G,423,G,1737,G
8610000US40118,40118,"ZIP 40118 (Fairdale, KY)",00,Total for all sectors,2008,92,893,G,5132,G,21559,G
8610000US40119,40119,"ZIP 40119 (Falls of Rough, KY)",00,Total for all sectors,2008,21,108,G,499,H,2184,H
8610000US40121,40121,"ZIP 40121 (Fort Knox, KY)",00,Total for all sectors,2008,69,1660,G,21945,G,88899,G
8610000US40129,40129,"ZIP 40129 (Hillview, KY)",00,Total for all sectors,2008,2,a,D,D,D,D,D
8610000US40140,40140,"ZIP 40140 (Garfield, KY)",00,Total for all sectors,2008,4,a,D,D,D,D,D
8610000US40142,40142,"ZIP 40142 (Guston, KY)",00,Total for all sectors,2008,7,20,G,101,G,438,G
8610000US40143,40143,"ZIP 40143 (Hardinsburg, KY)",00,Total for all sectors,2008,156,1656,G,9941,G,44279,G
8610000US40144,40144,"ZIP 40144 (Harned, KY)",00,Total for all sectors,2008,19,b,S,275,H,1122,H
8610000US40145,40145,"ZIP 40145 (Hudson, KY)",00,Total for all sectors,2008,6,b,S,S,S,633,H
8610000US40146,40146,"ZIP 40146 (Irvington, KY)",00,Total for all sectors,2008,43,325,G,1908,G,8413,G
8610000US40150,40150,"ZIP 40150 (Lebanon Junction, KY)",00,Total for all sectors,2008,52,1326,G,9892,G,40363,G
8610000US40152,40152,"ZIP 40152 (Mc Daniels, KY)",00,Total for all sectors,2008,14,51,G,286,G,1226,G
8610000US40153,40153,"ZIP 40153 (Mc Quady, KY)",00,Total for all sectors,2008,2,b,D,D,D,D,D
8610000US40155,40155,"ZIP 40155 (Muldraugh, KY)",00,Total for all sectors,2008,23,450,H,4362,H,19147,H
8610000US40157,40157,"ZIP 40157 (Payneville, KY)",00,Total for all sectors,2008,9,26,G,148,G,567,G
8610000US40159,40159,"ZIP 40159 (Radcliff, KY)",00,Total for all sectors,2008,9,f,D,D,D,D,D
8610000US40160,40160,"ZIP 40160 (Radcliff, KY)",00,Total for all sectors,2008,405,6072,G,26840,G,112825,G
8610000US40161,40161,"ZIP 40161 (Rhodelia, KY)",00,Total for all sectors,2008,2,a,D,D,D,D,D
8610000US40162,40162,"ZIP 40162 (Rineyville, KY)",00,Total for all sectors,2008,51,172,G,833,G,3617,G
8610000US40165,40165,"ZIP 40165 (Shepherdsville, KY)",00,Total for all sectors,2008,537,8238,G,51539,G,213042,G
8610000US40171,40171,"ZIP 40171 (Union Star, KY)",00,Total for all sectors,2008,2,c,D,D,D,D,D
8610000US40175,40175,"ZIP 40175 (Vine Grove, KY)",00,Total for all sectors,2008,103,787,H,3861,H,18656,H
8610000US40176,40176,"ZIP 40176 (Webster, KY)",00,Total for all sectors,2008,9,b,S,223,H,1013,H
8610000US40177,40177,"ZIP 40177 (West Point, KY)",00,Total for all sectors,2008,20,b,S,S,S,1410,H
8610000US40178,40178,"ZIP 40178 (Westview, KY)",00,Total for all sectors,2008,3,a,S,6,G,26,G
8610000US40201,40201,"ZIP 40201 (Louisville, KY)",00,Total for all sectors,2008,36,1142,G,18349,G,69162,G
8610000US40202,40202,"ZIP 40202 (Louisville, KY)",00,Total for all sectors,2008,1619,49222,G,688346,G,2643268,G
8610000US40203,40203,"ZIP 40203 (Louisville, KY)",00,Total for all sectors,2008,551,12920,G,100822,G,411318,G
8610000US40204,40204,"ZIP 40204 (Louisville, KY)",00,Total for all sectors,2008,552,7360,G,56862,G,237618,G
8610000US40205,40205,"ZIP 40205 (Louisville, KY)",00,Total for all sectors,2008,665,11040,G,91307,G,391363,G
8610000US40206,40206,"ZIP 40206 (Louisville, KY)",00,Total for all sectors,2008,611,11174,H,106543,H,416309,H
8610000US40207,40207,"ZIP 40207 (Louisville, KY)",00,Total for all sectors,2008,1617,25677,G,203841,G,895769,G
8610000US40208,40208,"ZIP 40208 (Louisville, KY)",00,Total for all sectors,2008,303,8282,G,68317,G,315522,H
8610000US40209,40209,"ZIP 40209 (Louisville, KY)",00,Total for all sectors,2008,209,7235,G,63052,G,261308,G
8610000US40210,40210,"ZIP 40210 (Louisville, KY)",00,Total for all sectors,2008,185,5881,G,71533,G,327016,G
8610000US40211,40211,"ZIP 40211 (Louisville, KY)",00,Total for all sectors,2008,285,5457,G,54692,G,205294,H
8610000US40212,40212,"ZIP 40212 (Louisville, KY)",00,Total for all sectors,2008,137,2072,G,16192,G,65245,G
8610000US40213,40213,"ZIP 40213 (Louisville, KY)",00,Total for all sectors,2008,786,32315,H,438112,H,1679177,H
8610000US40214,40214,"ZIP 40214 (Louisville, KY)",00,Total for all sectors,2008,679,11808,G,101256,G,417770,G
8610000US40215,40215,"ZIP 40215 (Louisville, KY)",00,Total for all sectors,2008,208,3229,G,30159,G,123682,G
8610000US40216,40216,"ZIP 40216 (Louisville, KY)",00,Total for all sectors,2008,688,11641,G,99854,G,378923,G
8610000US40217,40217,"ZIP 40217 (Louisville, KY)",00,Total for all sectors,2008,300,5915,G,43815,G,198965,G
8610000US40218,40218,"ZIP 40218 (Louisville, KY)",00,Total for all sectors,2008,981,21897,G,181617,G,746434,G
8610000US40219,40219,"ZIP 40219 (Louisville, KY)",00,Total for all sectors,2008,838,18429,G,138026,G,544699,G
8610000US40220,40220,"ZIP 40220 (Louisville, KY)",00,Total for all sectors,2008,635,9973,G,71224,G,288909,G
8610000US40221,40221,"ZIP 40221 (Louisville, KY)",00,Total for all sectors,2008,17,181,G,1243,G,4988,G
8610000US40222,40222,"ZIP 40222 (Louisville, KY)",00,Total for all sectors,2008,1141,23693,G,219104,G,823922,G
8610000US40223,40223,"ZIP 40223 (Louisville, KY)",00,Total for all sectors,2008,1078,27633,H,346424,G,1331384,H
8610000US40224,40224,"ZIP 40224 (Louisville, KY)",00,Total for all sectors,2008,7,214,G,2202,G,8564,G
8610000US40225,40225,"ZIP 40225 (Louisville, KY)",00,Total for all sectors,2008,8,g,D,D,D,D,D
8610000US40228,40228,"ZIP 40228 (Louisville, KY)",00,Total for all sectors,2008,293,3652,G,26787,G,107996,G
8610000US40229,40229,"ZIP 40229 (Louisville, KY)",00,Total for all sectors,2008,353,10794,G,79146,G,310694,G
8610000US40231,40231,"ZIP 40231 (Louisville, KY)",00,Total for all sectors,2008,2,b,D,D,D,D,D
8610000US40232,40232,"ZIP 40232 (Louisville, KY)",00,Total for all sectors,2008,34,2683,G,71805,G,142746,G
8610000US40233,40233,"ZIP 40233 (Louisville, KY)",00,Total for all sectors,2008,10,166,G,1491,G,6303,G
8610000US40241,40241,"ZIP 40241 (Louisville, KY)",00,Total for all sectors,2008,616,9123,G,57341,G,241373,G
8610000US40242,40242,"ZIP 40242 (Louisville, KY)",00,Total for all sectors,2008,124,1064,G,4983,G,21997,G
8610000US40243,40243,"ZIP 40243 (Louisville, KY)",00,Total for all sectors,2008,563,6852,G,49953,G,219624,G
8610000US40245,40245,"ZIP 40245 (Louisville, KY)",00,Total for all sectors,2008,458,4789,G,39998,G,170602,G
8610000US40250,40250,"ZIP 40250 (Louisville, KY)",00,Total for all sectors,2008,11,55,G,609,H,2390,H
8610000US40251,40251,"ZIP 40251 (Louisville, KY)",00,Total for all sectors,2008,7,32,G,184,G,825,G
8610000US40252,40252,"ZIP 40252 (Louisville, KY)",00,Total for all sectors,2008,15,82,G,792,G,2682,G
8610000US40253,40253,"ZIP 40253 (Louisville, KY)",00,Total for all sectors,2008,14,131,G,1047,G,4374,G
8610000US40255,40255,"ZIP 40255 (Louisville, KY)",00,Total for all sectors,2008,5,6,G,23,G,72,G
8610000US40256,40256,"ZIP 40256 (Louisville, KY)",00,Total for all sectors,2008,9,c,D,D,D,D,D
8610000US40257,40257,"ZIP 40257 (Louisville, KY)",00,Total for all sectors,2008,8,54,G,447,G,1630,G
8610000US40258,40258,"ZIP 40258 (Louisville, KY)",00,Total for all sectors,2008,413,9021,G,67902,G,269913,G
8610000US40259,40259,"ZIP 40259 (Louisville, KY)",00,Total for all sectors,2008,11,62,H,406,H,1714,H
8610000US40261,40261,"ZIP 40261 (Louisville, KY)",00,Total for all sectors,2008,2,c,D,D,D,D,D
8610000US40266,40266,"ZIP 40266 (Louisville, KY)",00,Total for all sectors,2008,1,c,D,D,D,D,D
8610000US40268,40268,"ZIP 40268 (Louisville, KY)",00,Total for all sectors,2008,4,a,D,D,D,D,D
8610000US40269,40269,"ZIP 40269 (Louisville, KY)",00,Total for all sectors,2008,20,319,G,1162,G,4929,G
8610000US40270,40270,"ZIP 40270 (Louisville, KY)",00,Total for all sectors,2008,3,b,D,D,D,D,D
8610000US40272,40272,"ZIP 40272 (Louisville, KY)",00,Total for all sectors,2008,411,4459,G,32055,G,121324,G
8610000US40280,40280,"ZIP 40280 (Louisville, KY)",00,Total for all sectors,2008,7,f,D,D,D,D,D
8610000US40281,40281,"ZIP 40281 (Louisville, KY)",00,Total for all sectors,2008,1,a,D,D,D,D,D
8610000US40289,40289,"ZIP 40289 (Louisville, KY)",00,Total for all sectors,2008,2,b,D,D,D,D,D
8610000US40291,40291,"ZIP 40291 (Louisville, KY)",00,Total for all sectors,2008,474,4236,G,19925,G,85380,G
8610000US40292,40292,"ZIP 40292 (Louisville, KY)",00,Total for all sectors,2008,10,165,H,1197,H,5566,H
8610000US40294,40294,"ZIP 40294 (Louisville, KY)",00,Total for all sectors,2008,1,b,D,D,D,D,D
8610000US40295,40295,"ZIP 40295 (Louisville, KY)",00,Total for all sectors,2008,2,a,D,D,D,D,D
