GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
0500000US01003,01003,"Baldwin County, Alabama",6355,1237,3626,1004,2729,947
0500000US01015,01015,"Calhoun County, Alabama",9098,816,4405,694,4693,946
0500000US01043,01043,"Cullman County, Alabama",485,260,178,127,307,234
0500000US01049,01049,"DeKalb County, Alabama",403,189,196,155,207,166
0500000US01051,01051,"Elmore County, Alabama",5699,744,3846,743,1853,855
0500000US01055,01055,"Etowah County, Alabama",6411,585,3070,490,3341,812
0500000US01069,01069,"Houston County, Alabama",9235,636,4019,418,5216,584
0500000US01073,01073,"Jefferson County, Alabama",103585,3085,52666,2800,50919,3161
0500000US01077,01077,"Lauderdale County, Alabama",3645,568,1806,446,1839,639
0500000US01081,01081,"Lee County, Alabama",12874,1196,6046,1127,6828,1416
0500000US01083,01083,"Limestone County, Alabama",3718,863,1934,667,1784,729
0500000US01089,01089,"Madison County, Alabama",31097,1837,15471,1279,15626,1781
0500000US01095,01095,"Marshall County, Alabama",333,123,180,65,153,115
0500000US01097,01097,"Mobile County, Alabama",53264,1993,28407,1934,24857,2283
0500000US01101,01101,"Montgomery County, Alabama",44556,2348,21853,1954,22703,2442
0500000US01103,01103,"Morgan County, Alabama",5491,861,2688,652,2803,883
0500000US01115,01115,"St. Clair County, Alabama",1995,635,1395,712,600,661
0500000US01117,01117,"Shelby County, Alabama",8794,657,4906,888,3888,908
0500000US01121,01121,"Talladega County, Alabama",10443,819,6024,897,4419,982
0500000US01125,01125,"Tuscaloosa County, Alabama",20915,1481,9645,1117,11270,1440
0500000US01127,01127,"Walker County, Alabama",1400,344,402,221,998,419
0500000US02020,02020,"Anchorage Municipality, Alaska",5538,1106,2074,715,3464,949
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",1623,448,631,565,992,473
0500000US04003,04003,"Cochise County, Arizona",1340,667,671,422,669,547
0500000US04005,04005,"Coconino County, Arizona",517,208,410,257,107,132
0500000US04013,04013,"Maricopa County, Arizona",70648,3596,22859,2362,47789,4415
0500000US04019,04019,"Pima County, Arizona",11642,1237,3943,790,7699,1293
0500000US04021,04021,"Pinal County, Arizona",3051,1188,1481,404,1570,1192
0500000US04027,04027,"Yuma County, Arizona",1659,625,376,409,1283,545
0500000US05007,05007,"Benton County, Arkansas",1142,543,227,261,915,601
0500000US05031,05031,"Craighead County, Arkansas",4456,819,277,297,4179,771
0500000US05045,05045,"Faulkner County, Arkansas",4127,632,1715,562,2412,816
0500000US05051,05051,"Garland County, Arkansas",3280,650,647,390,2633,827
0500000US05069,05069,"Jefferson County, Arkansas",14896,865,8228,993,6668,1122
0500000US05085,05085,"Lonoke County, Arkansas",1306,322,797,233,509,368
0500000US05119,05119,"Pulaski County, Arkansas",52991,2146,23553,2118,29438,2420
0500000US05125,05125,"Saline County, Arkansas",1761,338,955,352,806,438
0500000US05131,05131,"Sebastian County, Arkansas",3003,578,1362,500,1641,451
0500000US05143,05143,"Washington County, Arkansas",1519,514,190,136,1329,552
0500000US05145,05145,"White County, Arkansas",927,430,298,227,629,490
0500000US06001,06001,"Alameda County, California",81896,2375,26491,2532,55405,2871
0500000US06007,06007,"Butte County, California",1434,511,159,164,1275,467
0500000US06013,06013,"Contra Costa County, California",35609,2134,14834,1789,20775,2415
0500000US06019,06019,"Fresno County, California",15341,1211,4799,1086,10542,1247
0500000US06025,06025,"Imperial County, California",1092,380,322,167,770,348
0500000US06029,06029,"Kern County, California",16604,1694,4199,870,12405,1951
0500000US06031,06031,"Kings County, California",2261,774,616,369,1645,648
0500000US06037,06037,"Los Angeles County, California",324660,5382,112038,3782,212622,6586
0500000US06041,06041,"Marin County, California",1893,539,538,376,1355,514
0500000US06047,06047,"Merced County, California",2925,529,930,366,1995,530
0500000US06053,06053,"Monterey County, California",2716,976,894,582,1822,575
0500000US06055,06055,"Napa County, California",685,285,164,154,521,286
0500000US06059,06059,"Orange County, California",17676,1580,6948,1130,10728,1506
0500000US06061,06061,"Placer County, California",1441,628,399,398,1042,615
0500000US06065,06065,"Riverside County, California",42954,2338,21231,2241,21723,2416
0500000US06067,06067,"Sacramento County, California",54295,2640,19107,2154,35188,2738
0500000US06071,06071,"San Bernardino County, California",53340,3477,20965,2453,32375,3789
0500000US06073,06073,"San Diego County, California",52540,2668,16209,1645,36331,2650
0500000US06075,06075,"San Francisco County, California",21210,1918,5229,1148,15981,1895
0500000US06077,06077,"San Joaquin County, California",16911,1095,6745,1329,10166,1670
0500000US06079,06079,"San Luis Obispo County, California",848,463,713,445,135,170
0500000US06081,06081,"San Mateo County, California",6892,841,2338,638,4554,913
0500000US06083,06083,"Santa Barbara County, California",2505,600,964,502,1541,673
