GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
0500000US01003,01003,"Baldwin County, Alabama",2145,765,768,416,1377,765
0500000US01015,01015,"Calhoun County, Alabama",627,294,403,249,224,192
0500000US01043,01043,"Cullman County, Alabama",672,217,207,164,465,180
0500000US01049,01049,"DeKalb County, Alabama",2292,646,1758,678,534,462
0500000US01055,01055,"Etowah County, Alabama",885,475,369,217,516,456
0500000US01069,01069,"Houston County, Alabama",768,185,315,128,453,170
0500000US01073,01073,"Jefferson County, Alabama",6330,835,2778,956,3552,838
0500000US01081,01081,"Lee County, Alabama",1938,358,724,580,1214,571
0500000US01083,01083,"Limestone County, Alabama",1014,470,476,266,538,378
0500000US01089,01089,"Madison County, Alabama",5196,616,2261,518,2935,615
0500000US01095,01095,"Marshall County, Alabama",3321,531,734,721,2587,955
0500000US01097,01097,"Mobile County, Alabama",3268,738,1380,624,1888,634
0500000US01101,01101,"Montgomery County, Alabama",1781,372,837,313,944,382
0500000US01103,01103,"Morgan County, Alabama",2769,511,1138,398,1631,632
0500000US01115,01115,"St. Clair County, Alabama",597,224,285,186,312,257
0500000US01117,01117,"Shelby County, Alabama",2529,556,1753,517,776,529
0500000US01125,01125,"Tuscaloosa County, Alabama",1455,436,511,285,944,395
0500000US01127,01127,"Walker County, Alabama",420,145,195,122,225,224
0500000US02020,02020,"Anchorage Municipality, Alaska",7022,1050,3084,722,3938,998
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",1347,999,445,529,902,628
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",994,331,653,276,341,212
0500000US04001,04001,"Apache County, Arizona",1086,393,814,393,272,239
0500000US04003,04003,"Cochise County, Arizona",14397,1189,8627,991,5770,1108
0500000US04005,04005,"Coconino County, Arizona",5304,700,2510,595,2794,816
0500000US04013,04013,"Maricopa County, Arizona",333921,5150,159479,4568,174442,5924
0500000US04015,04015,"Mohave County, Arizona",9199,1377,4956,993,4243,1115
0500000US04017,04017,"Navajo County, Arizona",3032,598,1730,558,1302,529
0500000US04019,04019,"Pima County, Arizona",114563,2992,62695,3310,51868,3561
0500000US04021,04021,"Pinal County, Arizona",25166,2135,15970,1954,9196,1629
0500000US04025,04025,"Yavapai County, Arizona",8764,1260,5160,1345,3604,1162
0500000US04027,04027,"Yuma County, Arizona",37333,1865,23427,1718,13906,2328
0500000US05007,05007,"Benton County, Arkansas",11531,822,6467,1057,5064,1010
0500000US05031,05031,"Craighead County, Arkansas",1214,438,291,307,923,406
0500000US05045,05045,"Faulkner County, Arkansas",1510,429,256,271,1254,441
0500000US05051,05051,"Garland County, Arkansas",880,481,568,308,312,323
0500000US05069,05069,"Jefferson County, Arkansas",588,239,367,164,221,268
0500000US05085,05085,"Lonoke County, Arkansas",1215,299,614,410,601,284
0500000US05119,05119,"Pulaski County, Arkansas",6785,876,2808,902,3977,790
0500000US05131,05131,"Sebastian County, Arkansas",4880,685,2406,755,2474,813
0500000US05143,05143,"Washington County, Arkansas",9814,994,3258,1024,6556,1223
0500000US05145,05145,"White County, Arkansas",800,267,275,212,525,341
0500000US06001,06001,"Alameda County, California",93751,2840,36756,2185,56995,2728
0500000US06007,06007,"Butte County, California",10125,1008,4594,851,5531,874
0500000US06013,06013,"Contra Costa County, California",71953,2459,32465,2499,39488,2656
0500000US06017,06017,"El Dorado County, California",6207,1136,2650,633,3557,1126
0500000US06019,06019,"Fresno County, California",132615,3128,59004,3054,73611,3717
0500000US06023,06023,"Humboldt County, California",3748,683,1478,555,2270,595
0500000US06025,06025,"Imperial County, California",34798,1397,19386,1898,15412,1888
0500000US06029,06029,"Kern County, California",112907,3278,56181,2732,56726,3327
