GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
0500000US01003,01003,"Baldwin County, Alabama",1492,529,879,726,613,396
0500000US01015,01015,"Calhoun County, Alabama",1355,409,429,303,926,435
0500000US01049,01049,"DeKalb County, Alabama",1694,739,730,367,964,836
0500000US01051,01051,"Elmore County, Alabama",796,459,382,305,414,394
0500000US01069,01069,"Houston County, Alabama",952,186,404,165,548,206
0500000US01073,01073,"Jefferson County, Alabama",6729,983,2703,810,4026,870
0500000US01077,01077,"Lauderdale County, Alabama",495,278,331,247,164,195
0500000US01081,01081,"Lee County, Alabama",1046,285,182,259,864,276
0500000US01089,01089,"Madison County, Alabama",5364,948,3140,799,2224,881
0500000US01095,01095,"Marshall County, Alabama",2307,632,1092,417,1215,630
0500000US01097,01097,"Mobile County, Alabama",3393,678,1748,545,1645,644
0500000US01101,01101,"Montgomery County, Alabama",2406,340,917,403,1489,396
0500000US01103,01103,"Morgan County, Alabama",2630,452,667,422,1963,593
0500000US01117,01117,"Shelby County, Alabama",3081,882,1186,574,1895,684
0500000US01125,01125,"Tuscaloosa County, Alabama",1031,335,511,462,520,298
0500000US02020,02020,"Anchorage Municipality, Alaska",7284,856,3143,775,4141,916
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",2088,964,982,549,1106,650
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",1048,254,761,195,287,179
0500000US04001,04001,"Apache County, Arizona",949,537,386,397,563,380
0500000US04003,04003,"Cochise County, Arizona",12466,1292,7432,876,5034,1091
0500000US04005,04005,"Coconino County, Arizona",5543,944,2814,736,2729,958
0500000US04013,04013,"Maricopa County, Arizona",299859,5084,131018,4456,168841,5588
0500000US04015,04015,"Mohave County, Arizona",7314,1241,4139,936,3175,1049
0500000US04017,04017,"Navajo County, Arizona",3344,637,1281,497,2063,770
0500000US04019,04019,"Pima County, Arizona",106638,2897,54045,2708,52593,3098
0500000US04021,04021,"Pinal County, Arizona",24898,2138,14692,1805,10206,1676
0500000US04025,04025,"Yavapai County, Arizona",7009,1177,2866,1041,4143,1008
0500000US04027,04027,"Yuma County, Arizona",35405,1787,23179,1690,12226,1604
