GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - No schooling completed,Margin of Error; Male: - No schooling completed,Estimate; Male: - Nursery to 4th grade,Margin of Error; Male: - Nursery to 4th grade,Estimate; Male: - 5th and 6th grade,Margin of Error; Male: - 5th and 6th grade,Estimate; Male: - 7th and 8th grade,Margin of Error; Male: - 7th and 8th grade,Estimate; Male: - 9th grade,Margin of Error; Male: - 9th grade,Estimate; Male: - 10th grade,Margin of Error; Male: - 10th grade,Estimate; Male: - 11th grade,Margin of Error; Male: - 11th grade,"Estimate; Male: - 12th grade, no diploma","Margin of Error; Male: - 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, less than 1 year","Margin of Error; Male: - Some college, less than 1 year","Estimate; Male: - Some college, 1 or more years, no degree","Margin of Error; Male: - Some college, 1 or more years, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Master's degree,Margin of Error; Male: - Master's degree,Estimate; Male: - Professional school degree,Margin of Error; Male: - Professional school degree,Estimate; Male: - Doctorate degree,Margin of Error; Male: - Doctorate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - No schooling completed,Margin of Error; Female: - No schooling completed,Estimate; Female: - Nursery to 4th grade,Margin of Error; Female: - Nursery to 4th grade,Estimate; Female: - 5th and 6th grade,Margin of Error; Female: - 5th and 6th grade,Estimate; Female: - 7th and 8th grade,Margin of Error; Female: - 7th and 8th grade,Estimate; Female: - 9th grade,Margin of Error; Female: - 9th grade,Estimate; Female: - 10th grade,Margin of Error; Female: - 10th grade,Estimate; Female: - 11th grade,Margin of Error; Female: - 11th grade,"Estimate; Female: - 12th grade, no diploma","Margin of Error; Female: - 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, less than 1 year","Margin of Error; Female: - Some college, less than 1 year","Estimate; Female: - Some college, 1 or more years, no degree","Margin of Error; Female: - Some college, 1 or more years, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Master's degree,Margin of Error; Female: - Master's degree,Estimate; Female: - Professional school degree,Margin of Error; Female: - Professional school degree,Estimate; Female: - Doctorate degree,Margin of Error; Female: - Doctorate degree
0500000US01003,01003,"Baldwin County, Alabama",146987,1626,69793,1124,836,599,371,369,117,148,799,645,1180,698,2202,1205,1717,804,1580,687,18636,2431,4367,1304,9859,1995,6182,1843,14148,2687,4706,1025,2459,902,634,399,77194,966,1190,728,0,195,731,819,278,261,681,494,860,751,1461,747,825,446,23186,2800,6192,1348,10792,1873,9398,1903,11376,2086,8011,1559,1261,658,952,945
0500000US01015,01015,"Calhoun County, Alabama",78218,687,36870,583,474,388,54,102,392,181,1682,632,1152,484,1641,546,569,377,676,382,11292,1327,2686,944,8207,1722,2300,823,3604,928,1591,527,395,258,155,117,41348,579,845,589,147,150,543,341,933,481,788,536,2188,761,1094,414,745,425,13469,1440,2622,826,7657,1512,3153,899,3691,975,2715,824,505,293,253,188
0500000US01043,01043,"Cullman County, Alabama",57469,569,28258,704,757,561,185,182,1225,702,646,361,432,314,1366,651,1639,910,1652,880,8278,1227,2071,701,3357,1008,2135,842,3345,803,811,350,250,225,109,163,29211,640,639,417,61,63,406,318,671,423,533,515,980,647,1108,553,688,405,10203,1465,1889,718,3218,788,3598,1006,3230,900,1784,583,203,193,0,195
0500000US01049,01049,"DeKalb County, Alabama",48227,817,23382,584,468,343,325,374,258,203,942,519,1177,621,1522,655,1081,670,391,231,8737,1522,2518,942,2033,715,1694,675,1447,690,561,319,124,127,104,119,24845,450,1088,714,83,99,386,234,1434,653,1174,609,1225,541,405,320,381,321,6588,1083,2158,841,3939,989,2977,682,1812,608,1030,563,120,149,45,59
0500000US01051,01051,"Elmore County, Alabama",56224,970,26587,581,199,196,69,120,254,253,970,565,828,375,837,526,578,293,330,207,8684,1176,1683,594,3717,967,2307,930,4023,990,1373,494,489,309,246,235,29637,679,59,104,37,79,217,215,425,376,697,525,624,477,661,346,660,513,8332,1383,2073,696,4532,1061,2806,863,4873,1026,2963,1067,331,218,347,389
0500000US01055,01055,"Etowah County, Alabama",71104,815,33518,678,1033,543,668,592,233,222,428,317,1050,512,1046,509,88,92,776,391,12983,1535,1959,668,6075,1442,2335,643,3150,916,953,448,452,311,289,239,37586,413,380,305,83,99,483,441,1154,991,1334,599,1689,665,1801,646,901,454,11748,1398,2029,791,6635,1188,3118,896,3733,896,2330,640,168,165,0,195
0500000US01069,01069,"Houston County, Alabama",71469,231,33072,233,341,134,53,71,274,146,923,351,1252,485,1020,258,1311,355,797,263,9978,706,2198,398,5472,809,2479,422,4596,556,1504,426,555,149,319,141,38397,150,598,251,104,84,328,139,623,234,726,212,1350,305,1069,326,631,208,11523,820,2606,485,7016,766,4280,523,4796,646,2230,395,385,193,132,58
0500000US01073,01073,"Jefferson County, Alabama",449112,597,205127,657,2102,668,833,373,1353,618,2462,739,2670,888,4591,1015,5062,1240,5293,1292,56120,3393,9393,1620,34913,2898,14690,1953,39780,2941,13698,1616,8062,1213,4105,868,243985,630,1552,729,578,354,1005,576,2873,885,3486,981,4680,1340,5549,1324,3715,826,61803,3630,13328,1574,39632,3292,23598,2463,50197,3198,21820,2311,6166,1299,4003,1031
0500000US01077,01077,"Lauderdale County, Alabama",63320,989,29705,668,643,521,0,195,0,195,1351,746,175,181,779,404,759,318,659,456,10198,1361,1688,538,4676,1142,1851,678,5125,1032,1216,548,322,266,263,223,33615,679,493,263,177,267,365,271,946,515,777,509,914,526,492,343,286,179,12714,1372,1499,450,5399,1348,2664,1054,3919,896,2482,827,258,238,230,198
0500000US01081,01081,"Lee County, Alabama",94996,1234,46297,1218,766,464,35,75,209,332,655,452,1153,791,1017,610,1168,673,1258,706,10974,1745,2746,1103,7059,1425,3120,873,8994,1556,4401,1109,322,195,2420,837,48699,520,1246,710,102,164,325,316,730,596,1192,705,403,289,1015,750,287,249,10040,1701,3141,822,8026,1882,4424,1118,9722,1690,5935,1150,1165,702,946,442
0500000US01083,01083,"Limestone County, Alabama",63911,920,32036,595,229,217,0,195,370,383,393,270,1432,706,1491,712,623,412,217,215,9754,1554,2368,909,5454,1205,2100,853,4881,998,2321,777,325,267,78,132,31875,621,558,504,141,175,763,501,1409,1028,1244,660,1735,822,1243,727,389,352,9568,1773,1892,819,3938,1326,2372,760,4404,1086,1844,550,54,80,321,394
0500000US01089,01089,"Madison County, Alabama",243888,960,116546,711,1417,703,383,265,852,369,2442,1084,2048,747,2279,853,1708,725,1364,839,24715,2308,5707,1533,16281,1977,6456,1217,28009,2250,16422,2002,2707,967,3756,866,127342,846,1374,617,810,426,993,529,1350,629,1816,832,2065,758,1379,516,1421,597,30375,2276,8811,1692,17948,2087,10958,1782,29946,2911,15839,1601,1497,556,760,375
0500000US01095,01095,"Marshall County, Alabama",64390,607,30707,575,1290,772,247,221,315,382,437,267,1037,678,857,411,1336,807,340,198,10539,1433,3626,1019,4820,1239,1127,406,3497,951,695,326,260,161,284,214,33683,542,979,597,120,117,333,402,438,234,414,212,1482,643,1196,544,391,278,10940,1316,2485,750,5055,1300,4055,1145,3556,799,1968,617,258,229,13,16
0500000US01097,01097,"Mobile County, Alabama",278541,708,129550,771,1572,549,99,217,387,271,1779,609,2843,774,5434,1563,5595,1285,2352,757,41957,2798,7395,1376,20701,2514,10678,1483,20421,2122,5769,1418,1580,561,988,368,148991,640,1797,672,105,121,465,320,1653,629,2055,815,4472,1212,5595,1389,1211,570,47584,2633,7355,1296,24861,2711,14677,2101,23661,2081,11163,1674,1732,564,605,306
0500000US01101,01101,"Montgomery County, Alabama",151057,371,69083,299,1167,390,288,196,435,232,1089,563,1830,683,2660,965,2858,960,1785,664,17512,1830,4048,983,11517,1725,3516,1047,11857,1304,5480,1057,2084,561,957,390,81974,257,1091,466,269,200,708,409,1233,521,1865,860,2022,734,1305,516,1349,601,19127,2093,3792,828,15834,2217,5702,1088,16756,2017,8974,1282,1119,469,828,455
0500000US01103,01103,"Morgan County, Alabama",82212,971,39587,651,648,360,278,276,1004,640,2032,1039,1417,710,1347,579,1181,701,552,332,11329,1515,2856,780,6002,1265,3212,1079,5306,912,2077,629,299,243,47,77,42625,664,758,441,164,194,386,296,1677,808,1254,500,1809,1019,733,422,740,436,13139,1539,3838,670,5423,1145,4214,1066,5586,1106,2566,838,179,148,159,186
0500000US01115,01115,"St. Clair County, Alabama",61405,635,30312,507,247,207,45,77,391,330,1227,671,597,386,1365,584,1092,613,947,640,11953,1584,1687,624,4118,1073,1314,552,3532,937,1365,560,194,211,238,284,31093,861,462,359,0,195,207,206,497,286,692,582,1172,586,683,591,1308,610,10196,1706,1956,687,5151,1294,3433,1006,3931,879,1244,474,93,129,68,114
0500000US01117,01117,"Shelby County, Alabama",143840,895,68590,980,452,299,401,441,268,299,233,187,1075,604,1071,665,1335,602,751,403,12944,1575,4352,968,10356,1526,3766,1100,21641,2065,7472,1288,1709,583,764,338,75250,475,190,268,209,298,189,160,1765,992,927,576,1124,531,793,456,809,501,14980,1710,5481,1121,13000,1711,6940,1292,18201,1884,8061,1231,1233,418,1348,636
0500000US01121,01121,"Talladega County, Alabama",56133,1126,26681,938,661,395,125,99,258,220,401,288,846,478,1032,587,993,508,832,577,9849,1698,2204,680,4856,1338,1390,659,1873,600,1246,565,73,79,42,53,29452,591,255,171,185,212,0,195,972,568,1041,535,831,411,1468,754,529,388,8372,1238,2702,810,4645,980,3284,899,3625,914,1389,594,77,88,77,139
