GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35
0500000US01125,01125,"Tuscaloosa County, Alabama",127997,465,60502,433,853,489,400,405,522,389,576,382,1507,745,1144,582,1511,880,1686,638,17274,1941,3034,786,10664,1888,3856,1099,10431,1896,3985,1014,1413,592,1646,643,67495,262,591,448,0,195,147,188,447,327,1294,748,706,471,1778,726,815,476,18546,2022,4175,1070,11976,1718,6029,1266,11496,1809,7297,1406,1033,433,1165,489
0500000US01127,01127,"Walker County, Alabama",45447,408,21397,310,482,249,216,264,423,377,1172,552,369,263,1121,556,1115,601,275,202,8244,1141,1176,454,2981,800,1244,430,1698,722,586,340,275,288,20,35,24050,274,424,218,59,103,360,270,707,387,316,192,932,484,1370,497,235,206,9188,1284,1537,675,3424,746,3061,794,1329,629,937,413,127,140,44,70
0500000US02020,02020,"Anchorage Municipality, Alaska",193529,928,96828,265,505,335,307,287,167,171,307,268,707,462,966,577,1385,552,1051,501,24032,2796,7004,1192,18720,2079,8236,1498,19690,1712,8452,1276,3754,904,1545,686,96701,867,606,343,118,121,531,367,1113,538,497,249,1102,586,1142,633,1346,605,20772,2052,6478,1389,17004,2045,8720,1623,25366,2124,8691,1261,1838,594,1377,534
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",61109,1410,32615,1176,314,464,457,454,44,73,29,57,49,89,217,122,512,389,201,203,8084,1554,2669,995,8415,2140,3661,1358,5012,1185,1727,647,342,297,882,535,28494,1132,0,155,109,183,0,155,77,99,50,105,111,128,132,233,255,239,6641,1430,2343,836,5208,1375,2274,773,8301,1464,2497,731,253,218,243,290
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",66199,549,34345,545,80,113,69,86,67,117,489,467,126,94,393,306,460,280,497,256,11691,1210,3386,868,8151,1134,3606,833,3271,698,1399,440,407,253,253,162,31854,382,121,112,0,155,0,155,234,168,239,208,378,248,114,107,548,398,9380,1124,2951,591,6929,989,3449,811,5108,823,1806,525,464,323,133,139
0500000US04001,04001,"Apache County, Arizona",45180,449,22221,357,699,265,169,120,557,267,335,196,347,131,923,373,946,375,502,348,7726,929,897,359,5840,945,1219,535,1043,404,637,244,195,219,186,163,22959,386,1104,320,195,157,514,213,501,170,286,126,638,260,528,224,60,65,6345,897,762,313,6628,915,2196,642,2072,600,937,328,177,201,16,26
0500000US04003,04003,"Cochise County, Arizona",87838,616,43984,619,587,284,240,191,640,369,927,398,630,394,868,435,1009,610,1008,566,10162,1319,3592,943,8882,1589,4060,778,7559,1177,2941,766,389,282,490,296,43854,546,454,290,453,330,1426,598,639,295,392,266,471,348,1606,697,393,287,12735,1664,2962,776,7494,1079,4868,939,6020,1199,2940,669,718,521,283,218
0500000US04005,04005,"Coconino County, Arizona",81866,728,41020,602,200,139,91,63,104,83,714,523,618,377,903,446,575,274,342,231,10190,1499,2579,793,7978,1531,2518,777,8600,1438,3729,941,1243,522,636,350,40846,464,764,304,224,125,513,304,405,266,510,308,765,355,1433,634,395,240,7884,1426,2432,726,7122,1306,3634,1044,8181,1242,4754,975,758,334,1072,355
0500000US04013,04013,"Maricopa County, Arizona",2806841,409,1363158,375,23477,2493,12212,2357,23488,2429,19760,2720,19594,2771,23930,3082,25970,3063,29954,2778,306941,8099,90409,4646,231784,6826,111764,4592,281415,7430,108611,4523,34630,2897,19219,2123,1443683,342,26305,2686,10548,2045,27036,3393,21793,2723,19787,2525,21690,2618,26704,3104,26347,2437,322920,8505,111486,5122,255508,7197,121076,5456,292264,7760,124618,4913,21635,2217,13966,1762
0500000US04015,04015,"Mohave County, Arizona",155272,1347,77647,1050,529,411,323,431,260,255,1230,580,1915,739,2918,958,2233,836,2484,747,26677,2134,6897,1345,17124,2103,5716,1257,6803,1293,1796,614,321,242,421,287,77625,788,461,289,713,646,791,619,774,504,792,463,1943,718,3597,1109,2755,698,26739,2362,8441,1300,14496,1894,7941,1451,4544,1078,3154,793,484,308,0,204
0500000US04017,04017,"Navajo County, Arizona",70759,785,35076,448,613,433,501,252,487,404,1430,531,460,232,1615,506,1505,579,858,372,11041,1131,2047,641,6528,1179,2775,767,2781,739,1758,622,422,266,255,197,35683,617,714,251,201,120,422,218,979,429,955,366,1191,423,1268,485,264,184,10040,1290,2023,634,9652,1471,3017,625,3315,733,1507,482,135,140,0,204
0500000US04019,04019,"Pima County, Arizona",676920,583,326700,416,4983,1138,1603,683,4475,997,6079,1391,5705,1399,6075,1329,7211,1466,6429,1180,73507,4087,23135,2076,58410,3742,26062,2216,56491,3105,28869,2466,9520,1380,8146,1181,350220,402,2989,631,1953,701,5538,1224,4999,1184,5896,1215,5473,1458,6095,1045,5800,1048,76184,4143,25816,2276,64615,3487,32260,2529,65425,3597,33981,2303,6964,1249,6232,1044
0500000US04021,04021,"Pinal County, Arizona",287719,1030,149331,894,2214,824,1193,841,2206,1090,4926,1085,3649,1100,5058,1292,4066,1440,1993,602,43880,3744,13795,1888,23677,2969,12872,1752,18362,2150,8444,1671,1928,806,1068,474,138388,622,1732,758,800,608,815,483,1649,738,1848,658,3424,1176,2353,818,3861,1221,36856,3073,13594,1832,27273,3024,15750,2050,19388,2554,7348,1261,614,367,1083,734
0500000US04025,04025,"Yavapai County, Arizona",172269,1248,82947,886,241,233,372,416,187,222,882,529,839,475,1188,809,1994,916,1598,833,22304,2494,6367,1252,18393,2715,8512,1478,11565,1840,5655,1123,1404,537,1446,504,89322,918,178,193,206,256,322,398,1033,628,649,384,460,312,888,533,2338,993,24805,2430,8968,1444,19406,2215,8739,1526,11995,1577,7371,1382,918,513,1046,431
0500000US04027,04027,"Yuma County, Arizona",129735,307,65395,456,1679,615,1724,751,4193,1225,2508,936,1851,888,1766,800,2271,1034,1837,684,17529,2019,4170,1112,12850,1644,3603,880,6699,1105,1707,504,843,428,165,217,64340,483,1938,746,1795,759,3367,882,2007,717,2267,812,1699,624,1643,693,895,407,16970,1967,5902,1087,11263,1376,3985,1035,6582,1347,3401,836,494,274,132,162
0500000US05007,05007,"Benton County, Arkansas",168509,568,82077,540,1555,674,764,421,1607,587,1491,746,1462,685,1189,518,1083,515,951,442,23269,2141,4532,847,11526,1506,4142,942,19356,2075,6711,1131,1830,622,609,302,86432,414,859,509,1232,660,1251,495,1578,679,1775,631,1168,485,857,397,1049,370,25967,2045,5440,949,13956,1788,5641,1133,17991,1906,5750,1013,1217,532,701,427
0500000US05031,05031,"Craighead County, Arkansas",67521,1214,32271,792,328,263,79,104,46,60,667,428,598,304,972,607,299,196,426,322,14531,1772,1722,525,4464,1056,1171,589,4359,1094,1533,644,513,383,563,408,35250,839,315,309,567,653,607,561,693,353,541,326,830,559,830,506,302,260,10812,1670,2485,839,5561,1338,2801,936,5967,1266,2028,783,408,319,503,388
0500000US05045,05045,"Faulkner County, Arkansas",74676,943,35894,775,64,82,309,397,238,235,252,209,665,399,441,354,941,610,628,354,10738,1290,2162,685,7108,1258,2461,832,5539,1052,2934,788,729,379,685,306,38782,689,254,239,0,197,35,57,657,399,550,419,585,352,339,322,432,269,13188,1503,1596,502,7105,1313,2371,661,7220,1307,3591,961,460,301,399,238
0500000US05051,05051,"Garland County, Arkansas",69426,1115,32264,978,343,281,78,93,42,61,533,432,254,211,526,431,1173,755,399,418,10239,1395,2705,1000,7449,1466,2432,780,4497,1029,524,312,763,507,307,219,37162,969,450,357,0,197,0,197,426,405,502,343,961,773,1874,905,786,397,10296,1305,2592,823,8630,1524,4035,1067,4150,1049,1592,554,431,283,437,325
0500000US05069,05069,"Jefferson County, Arkansas",46788,654,22500,434,577,347,260,201,261,207,546,371,797,452,390,251,1265,487,402,313,8412,1053,1543,552,3379,867,1359,527,2082,668,1012,609,60,95,155,169,24288,393,379,267,15,20,421,424,792,455,263,227,552,359,1758,862,297,222,7675,1181,1592,497,2794,713,2365,805,3706,959,1596,506,0,197,83,127
0500000US05085,05085,"Lonoke County, Arkansas",48025,444,23202,567,77,97,0,197,0,197,790,468,231,197,312,304,805,597,150,274,8526,1155,1954,735,3635,992,2083,695,2895,858,1314,594,353,272,77,117,24823,579,201,174,143,167,127,201,393,296,96,129,591,329,716,470,350,206,8327,1223,2145,648,3677,882,2510,764,3657,890,1800,564,90,102,0,197
0500000US05119,05119,"Pulaski County, Arkansas",265108,908,123186,813,901,483,552,465,1153,937,1997,729,1480,738,2369,978,2990,1184,1702,662,33333,2953,7848,1465,21301,2530,6528,1551,25769,2627,8997,1755,4115,795,2151,719,141922,784,995,610,183,314,474,309,1038,531,1524,718,1667,725,2514,868,1742,654,35624,2853,9587,1611,25970,2835,11268,1583,29871,2756,15143,2077,2444,725,1878,890
0500000US05125,05125,"Saline County, Arkansas",81777,1370,39629,846,116,194,69,118,66,106,198,214,186,165,634,394,1182,588,1206,615,13883,1762,3042,987,6025,1464,2507,913,7543,1466,2196,647,224,177,552,341,42148,815,187,178,0,197,400,295,231,190,453,441,558,301,524,366,474,288,12768,1459,3289,785,6388,1285,4143,951,7585,1442,4126,868,549,395,473,327
0500000US05131,05131,"Sebastian County, Arkansas",86125,952,40736,1006,1031,580,405,456,1490,727,625,418,599,404,726,408,1893,732,694,378,14230,1757,3760,1114,6589,1377,1896,610,4584,944,1088,518,794,416,332,230,45389,853,762,474,125,94,1054,618,438,409,687,438,913,553,1052,658,1072,598,14998,1981,4397,1293,6758,1545,5034,1182,5481,1201,2398,913,78,83,142,173
0500000US05143,05143,"Washington County, Arkansas",136698,1332,67233,1015,833,513,1047,815,2021,1111,1211,709,1298,723,802,492,1729,819,439,335,17657,1959,4057,990,10883,1690,3551,1265,12211,1838,5098,986,2398,771,1998,870,69465,882,644,517,530,410,2020,822,1602,713,2220,1026,1758,782,910,536,838,345,18076,2035,3661,1080,11056,1946,3217,825,12640,1906,7305,1235,1780,760,1208,500
0500000US05145,05145,"White County, Arkansas",51306,621,24415,504,218,199,77,100,146,165,564,441,329,234,794,494,479,401,387,362,10884,1456,1110,560,3151,1006,990,505,2738,892,2131,877,101,127,316,282,26891,487,49,68,136,162,0,197,434,310,479,279,602,340,1020,553,442,394,9340,1339,2286,959,3919,1119,2440,821,2772,831,1862,700,608,622,502,283
0500000US06001,06001,"Alameda County, California",1159183,444,559942,276,13530,1856,5283,1172,11001,2067,6577,1367,7084,1479,4639,887,6044,1156,13887,1960,102646,5099,21322,1999,82821,4593,33955,2607,140107,4540,73379,3405,16391,1509,21276,1928,599241,269,16995,2225,5664,1353,11031,1563,8093,1377,7721,1615,5185,1062,5407,1127,13990,2021,100791,4524,25655,2325,82181,4287,41588,2992,164464,5864,79716,3766,18691,1808,12069,1685
0500000US06007,06007,"Butte County, California",147756,769,71207,643,2093,756,132,131,988,536,565,359,878,442,1076,497,1086,419,2105,801,17931,1783,5163,1126,15341,1876,6678,1378,9946,1633,3877,859,2229,778,1119,519,76549,450,1316,429,342,213,321,261,944,443,672,402,1494,528,1107,546,1599,702,16876,1801,8198,1193,16247,2095,6528,1241,12975,1572,5553,1236,1210,494,1167,607
0500000US06013,06013,"Contra Costa County, California",779169,703,373320,471,5819,1191,2997,1267,8594,1889,4838,1368,4036,1286,3703,1072,4620,1435,7248,1212,62444,4209,21495,2430,59645,4413,27107,2771,98790,5237,39289,2871,13470,1750,9225,1338,405849,634,7530,1271,4363,1057,8058,1709,5424,1343,4430,1225,2161,624,3959,1149,5331,1189,71154,3784,26842,2440,66126,3600,37802,2947,102292,4402,43685,3437,10717,1670,5975,1165
0500000US06017,06017,"El Dorado County, California",134269,833,65862,628,438,275,255,307,426,416,208,278,480,378,376,289,868,471,1366,566,14285,1540,5522,1145,11933,1539,6505,1199,14618,1622,4860,1076,2512,836,1210,537,68407,701,1367,493,0,206,544,463,403,393,82,97,155,177,707,510,1188,711,15574,2234,5731,1101,12353,1851,7907,1245,13672,1842,5586,1286,2373,725,765,368
0500000US06019,06019,"Fresno County, California",598981,408,294671,261,13486,2306,8676,1673,13788,2145,9185,1534,8210,1540,7390,1519,8419,1817,11168,2033,72947,4558,17296,1553,47127,3776,21310,2358,36273,2870,11049,1482,5599,1090,2748,763,304310,326,13045,1800,8760,1663,12380,1862,8058,1101,8267,1653,6345,1195,6860,1462,7725,1417,66415,3515,22862,2485,50452,3439,27984,2790,42875,2980,16197,1713,4524,900,1561,601
0500000US06023,06023,"Humboldt County, California",91712,1014,45525,883,333,280,0,206,240,280,539,416,579,398,576,364,1315,568,1540,875,13337,1600,3041,958,7838,1455,3716,962,8335,1496,1934,665,1551,606,651,358,46187,805,264,233,52,76,102,157,128,144,487,429,721,422,959,742,747,410,10368,2104,4408,1019,8273,1343,5129,1125,10249,1834,3179,955,742,375,379,300
0500000US06025,06025,"Imperial County, California",109421,908,55311,927,1606,653,1152,560,3172,1039,1266,448,2650,901,1510,503,2658,899,2353,943,14038,1633,5142,1485,9582,1579,2920,808,5276,1335,1458,559,528,249,0,206,54110,396,2054,701,2405,773,3403,922,1890,749,4022,1136,1402,594,1141,611,1012,469,12000,1752,3011,1124,9625,1657,4245,1269,5161,1187,2030,652,509,336,200,175
0500000US06029,06029,"Kern County, California",532865,1085,272352,1013,7420,1419,7926,1687,15070,2068,6532,1557,6075,1358,8184,1758,10860,1882,13519,2226,74322,4598,19415,2206,41357,3901,17998,2373,30054,2669,8973,1466,2545,739,2102,868,260513,343,7493,1487,6297,1348,15148,2314,4605,1299,6212,1685,7886,1956,7050,1498,9187,1832,69844,3888,18613,1968,43104,3818,21863,2429,29671,3115,10135,1721,2554,719,851,518
0500000US06031,06031,"Kings County, California",92081,551,52046,527,579,288,1602,725,2028,665,932,484,1711,537,2141,786,2610,640,2054,741,17018,1771,3358,697,10085,1416,2999,788,3288,878,1237,660,384,283,20,35,40035,527,1009,462,2107,760,1628,571,873,458,1550,752,875,456,989,479,738,402,11247,1300,2373,789,7405,1374,3499,951,3952,815,1403,547,285,253,102,164
0500000US06033,06033,"Lake County, California",47610,760,23284,672,140,185,57,96,349,464,396,352,817,588,620,511,405,266,506,392,6503,1485,2308,945,5697,1481,2302,869,1545,631,604,359,758,621,277,244,24326,958,819,664,61,104,522,373,383,298,109,156,1074,577,767,510,377,286,5302,1180,2806,931,4832,1100,2841,814,3225,869,910,502,167,211,131,162
0500000US06037,06037,"Los Angeles County, California",6878029,661,3332188,440,113395,4906,70170,4627,158717,5880,67621,3758,91305,4764,46955,3760,67086,4784,97623,4947,719634,13543,142168,4890,503597,11643,213443,7380,670451,9837,233678,8372,90184,4684,46161,2789,3545841,414,133499,4953,90940,5222,178014,6421,73145,4140,90710,5131,50341,3669,66645,4155,93670,4408,713924,13036,165657,5639,494153,9589,268304,7341,742270,11950,276030,8069,71480,4496,37059,2440
0500000US06039,06039,"Madera County, California",96004,697,45319,610,1588,679,2036,874,3286,1213,1126,740,2131,876,1087,761,1349,596,1919,905,12189,1745,3197,852,8323,1686,1640,475,3518,961,961,528,430,289,539,431,50685,714,1230,512,2086,699,3219,1142,1525,606,977,544,1241,479,2029,817,989,589,12010,1750,4035,910,11288,1873,4165,976,3937,892,1371,531,493,342,90,88
0500000US06041,06041,"Marin County, California",190225,777,91398,499,1014,568,413,399,2964,809,736,421,563,479,444,270,1057,629,453,351,10916,1884,3414,1106,12827,1604,3695,734,30004,2241,13468,1808,6491,1103,2939,931,98827,798,1411,695,689,556,1920,872,333,287,511,385,0,206,246,231,502,314,8853,1367,4059,974,15025,1818,5794,1117,35623,2360,16713,1737,4705,1062,2443,702
