GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27
1400000US21111012107,21111012107,"Census Tract 121.07, Jefferson County, Kentucky",2748,352,1384,269,1364,200,30994,7317,40776,3575,24904,6607,1965,290,1090,204,875,186,0.0,1.5,0.0,2.7,0.0,3.4,4.7,3.4,1.9,3.0,8.1,6.8,19.2,8.1,20.2,12.0,17.9,11.0,17.3,6.9,6.5,5.2,30.6,14.2,22.1,8.5,22.6,13.3,21.6,11.5,18.5,7.1,23.0,8.4,12.8,9.2,3.3,2.8,1.7,2.2,5.3,5.7,12.1,5.4,18.8,9.0,3.7,3.4,2.9,3.0,5.2,5.3,0.0,3.4,(X),(X),42969,17070,33194,3729,44051,4343,50688,6485,35783,4488,34879,5760,41241,5198,30296,8757,20694,9998,16691,7341,25804,9768,26356,8220,29722,22341,23534,6716,40044,2355,51406,19650,32390,2679,54938,21737,64125,18761,53313,36295,-,**,-,**,-,**,19.6,(X),(X),(X),(X),(X)
1400000US21111012202,21111012202,"Census Tract 122.02, Jefferson County, Kentucky",3298,506,1522,292,1776,347,26896,3640,26583,11028,26948,3628,2056,367,994,275,1062,286,0.6,1.1,0.0,3.0,1.2,2.1,3.0,3.4,0.0,3.0,5.7,6.4,21.6,11.1,25.2,16.3,18.4,12.0,21.7,8.5,13.7,10.2,29.3,13.9,18.2,6.6,16.8,9.6,19.6,9.2,21.0,10.6,26.1,14.1,16.3,13.8,2.6,2.2,4.6,4.6,0.7,1.3,7.7,4.7,9.1,7.2,6.5,5.3,3.5,2.2,4.6,3.8,2.4,2.9,(X),(X),41753,14878,31548,8371,42524,4305,46247,6927,39039,4703,29070,4345,32069,15833,27750,4583,26506,9357,31548,10485,-,**,27523,11171,41630,31789,20455,12296,29609,12117,-,**,38421,14832,45915,4571,-,**,46018,16807,85273,60476,-,**,-,**,27.2,(X),(X),(X),(X),(X)
1400000US21111012203,21111012203,"Census Tract 122.03, Jefferson County, Kentucky",3538,313,1832,232,1706,182,28626,5791,36500,12903,25169,7742,2242,278,1299,209,943,188,2.5,2.7,2.6,3.0,2.2,2.9,3.9,2.2,3.8,3.6,3.9,3.3,14.0,5.5,9.3,5.8,20.5,11.5,13.9,5.6,14.2,9.1,13.5,7.9,12.9,5.4,15.8,7.5,9.0,6.2,20.9,6.3,24.4,8.3,16.1,8.8,9.5,3.6,11.2,6.2,7.3,4.9,13.0,4.4,10.7,5.1,16.1,8.0,9.4,4.2,7.9,6.4,11.3,6.9,(X),(X),51002,2983,50590,13175,59926,9940,63054,17283,55617,8867,35500,10471,45840,11824,26960,6681,-,**,-,**,-,**,27819,4718,35500,21107,19743,7190,51200,11851,51357,14662,50833,36398,-,**,34028,14511,-,**,52014,34957,56138,11787,-,**,17.4,(X),(X),(X),(X),(X)
1400000US21111012204,21111012204,"Census Tract 122.04, Jefferson County, Kentucky",2025,266,1010,228,1015,142,31584,8039,40168,17283,30813,3462,1362,271,759,215,603,136,1.0,1.1,0.0,3.9,2.2,2.4,2.8,3.1,3.8,5.3,1.5,2.3,13.4,8.4,15.3,12.6,10.9,9.2,22.0,8.9,16.5,9.5,29.0,12.5,20.0,9.4,23.2,12.1,16.1,10.0,21.4,7.8,19.6,7.8,23.7,11.2,5.7,3.2,4.0,3.5,8.0,5.7,6.8,3.5,8.0,5.6,5.3,4.1,6.8,3.9,9.6,5.9,3.3,3.6,(X),(X),42416,12091,45529,18785,62273,21818,65316,23247,58443,23366,37695,12041,41298,9037,32245,6849,47862,32530,48158,23299,-,**,35357,11342,41058,9949,31284,3680,28906,4774,29338,15817,28417,5249,51563,28331,55781,36564,51042,23215,56699,4906,60385,21585,56250,7375,13.9,(X),(X),(X),(X),(X)
1400000US21111012301,21111012301,"Census Tract 123.01, Jefferson County, Kentucky",1855,181,937,107,918,131,30568,3773,33945,5656,27500,5748,1149,147,627,120,522,89,0.0,2.6,0.0,4.7,0.0,5.6,1.1,1.8,0.0,4.7,2.5,4.0,13.7,6.6,13.6,8.5,13.8,10.9,21.8,7.9,17.7,8.9,26.8,12.1,20.1,6.5,16.7,8.4,24.1,10.4,19.8,6.8,26.3,10.8,11.9,9.1,10.3,5.3,12.6,7.6,7.5,7.1,8.4,4.6,4.3,4.7,13.4,8.2,4.8,4.7,8.8,8.5,0.0,5.6,(X),(X),50422,11224,39500,7381,55005,11596,63992,19307,44210,5956,35077,5583,36122,5239,32321,8145,36200,14874,36200,19450,32500,27828,21745,10667,21974,11969,20875,12249,40104,8539,55263,27996,32254,13769,40385,11196,39917,16977,40481,14335,50968,11858,51169,9063,46932,41807,27.6,(X),(X),(X),(X),(X)
1400000US21111012302,21111012302,"Census Tract 123.02, Jefferson County, Kentucky",2964,439,1554,279,1410,290,27615,5275,30963,4527,23961,4514,1834,314,1079,249,755,204,0.8,1.3,1.4,2.2,0.0,3.9,0.8,1.4,0.0,2.7,2.0,3.4,19.8,8.9,16.9,9.9,24.1,15.0,25.6,9.3,23.9,11.5,27.9,12.9,16.6,7.9,22.4,11.8,8.2,6.7,16.2,7.1,14.8,8.8,18.3,10.8,5.5,4.1,4.7,4.5,6.6,5.9,4.5,3.3,1.8,2.9,8.5,6.8,10.1,6.6,14.1,9.9,4.4,5.0,(X),(X),37401,6151,32109,9323,48631,7534,47882,7128,49702,13271,30425,5526,33785,5582,24846,6439,-,**,-,**,-,**,23822,4992,27860,5017,16125,9116,27346,10573,35982,7037,23615,3824,44643,8759,51225,1339,43651,6111,63578,21401,57321,42015,64609,43051,27.4,(X),(X),(X),(X),(X)
1400000US21111012406,21111012406,"Census Tract 124.06, Jefferson County, Kentucky",2889,354,1546,257,1343,197,32170,4703,36803,5423,24661,7534,2055,319,1165,248,890,198,0.0,1.4,0.0,2.5,0.0,3.3,7.7,5.1,9.4,7.3,5.4,7.8,20.2,8.0,16.2,12.6,25.4,10.9,16.4,6.0,10.6,5.9,24.2,11.1,31.0,7.3,32.3,9.9,29.4,10.6,16.4,6.2,21.7,9.4,9.4,8.2,2.0,1.8,2.5,2.8,1.3,2.1,4.7,3.1,4.5,4.5,4.8,4.6,1.6,1.6,2.7,2.9,0.0,3.3,(X),(X),42031,6673,33842,3298,40905,4838,44516,7513,36177,4047,34612,3612,40356,4705,30232,6433,-,**,-,**,-,**,36381,5106,41566,4427,32640,10019,33179,4969,38011,11231,28526,8086,44091,8293,43438,28967,45500,4421,16186,2209,-,**,31369,21373,18.4,(X),(X),(X),(X),(X)
1400000US21111012407,21111012407,"Census Tract 124.07, Jefferson County, Kentucky",2842,231,1425,188,1417,129,31593,4516,30273,8667,32052,5796,1880,198,928,148,952,153,2.1,2.2,4.3,4.4,0.0,3.1,4.9,5.0,7.8,10.0,2.2,2.1,7.0,4.8,6.7,6.3,7.4,6.7,18.5,6.7,13.1,9.2,23.6,10.1,30.3,9.0,29.6,9.9,30.9,12.2,19.4,6.1,18.2,8.0,20.6,10.1,5.5,3.6,7.4,5.8,3.6,3.8,7.6,3.9,5.7,5.6,9.3,7.0,4.7,3.7,7.1,7.6,2.4,2.1,(X),(X),42656,6338,43889,8037,47746,5601,50072,9546,45479,4368,35930,3161,36997,4198,34712,6188,11329,2592,11528,1040,-,**,26893,6731,25444,12143,28750,8807,37245,5025,45453,8854,35156,6406,54010,8169,54896,14174,45865,15596,57813,10533,-,**,57931,12401,17.5,(X),(X),(X),(X),(X)
1400000US21111012408,21111012408,"Census Tract 124.08, Jefferson County, Kentucky",1226,132,655,116,571,84,31494,2667,32358,7212,27225,6092,824,94,471,86,353,72,0.0,3.6,0.0,6.2,0.0,8.1,4.4,3.3,5.3,5.8,3.1,3.8,12.7,5.4,13.8,7.4,11.3,7.1,21.6,7.7,20.4,7.7,23.2,13.1,37.9,7.9,35.2,9.8,41.4,13.3,16.6,6.4,13.4,5.8,21.0,12.5,4.0,3.3,7.0,5.6,0.0,8.1,1.5,1.8,2.5,3.1,0.0,8.1,1.3,1.5,2.3,2.6,0.0,8.1,(X),(X),40712,4518,37557,4481,44817,7265,49792,12823,38178,3703,35795,3306,40308,6514,33188,9092,29722,12147,-,**,26563,23626,35536,7439,40962,6180,22337,18833,37470,3740,40662,5767,36520,3394,25417,12933,-,**,21923,7060,-,**,-,**,48472,25965,22.5,(X),(X),(X),(X),(X)
1400000US21111012409,21111012409,"Census Tract 124.09, Jefferson County, Kentucky",1535,172,778,132,757,115,24908,3089,25882,4333,24133,3692,996,150,536,108,460,93,1.0,1.7,1.9,3.1,0.0,6.3,4.1,3.1,4.1,4.4,4.1,4.7,22.7,7.5,21.6,10.3,23.9,10.9,23.5,6.6,24.6,8.6,22.2,11.6,35.3,8.7,33.6,12.1,37.4,13.2,8.1,4.5,6.3,4.9,10.2,7.5,4.7,3.4,6.9,5.2,2.2,3.2,0.0,3.0,0.0,5.4,0.0,6.3,0.5,0.8,0.9,1.5,0.0,6.3,(X),(X),34167,5563,34881,8415,35641,2730,36472,3917,34673,3333,27667,2991,29362,5923,25852,4143,19028,13559,23977,15263,-,**,26116,2628,28676,7333,22647,18198,29531,11026,35050,15394,29181,12108,35714,18699,41250,21297,-,**,-,**,-,**,-,**,26.7,(X),(X),(X),(X),(X)
